sequence,item_name,item_type,major_category,archetype,slot_family,allowed_class,flavor_text,base_level,drop_min_level,drop_max_level_raw,drop_max_level_capped,prompt_item_description
63,Wayfarer Shoulders,Pauldrons,armor,light,pauldrons,ranger,"Road worn pieces with neat repairs stop complaining, so should you.",48,38,58,58,"wayfarer shoulders, travel worn leather, tidy repairs, worn buckles, isolated item, no glow."
64,Hunt Shoulderguards,Pauldrons,armor,light,pauldrons,ranger,"Shoulder cut made for hunts keeps the neck free, hands stay fast.",52,42,62,62,"hunt shoulderguards, hunting cut leather, small hard plates, faint runic etch on clasp, thin contained glow, isolated item."
65,Shadow Wraps,Pauldrons,armor,light,pauldrons,ranger,"Dark wraps hide movement and keep noise low, keep low.",56,46,66,66,"shadow wraps, black cloth wraps, low reflection finish, tight seams, isolated item, no magic."
66,Wind Guards,Pauldrons,armor,light,pauldrons,ranger,"Light plates at the shoulder keep straps from snapping on a hard climb, cold loses ground.",60,50,70,70,"wind guards, light leather guards, streamlined ties, frayed ends, isolated item, no glow."
67,Moon Mantle,Pauldrons,armor,light,pauldrons,ranger,"Pale mantle breaks the outline at dusk, doubt breaks too.",64,54,74,74,"moon mantle, pale cloth drape, layered fabric, subtle stitching, isolated item, no magic."
68,Vanguard Drapes,Pauldrons,armor,light,pauldrons,ranger,"Forward hanging cloth invites underestimation, accept the gift.",68,58,78,78,"vanguard drapes, forward hanging cloth, reinforced shoulder line, faint luminous trace in seam, isolated item."
69,Swift Shoulderguards,Pauldrons,armor,light,pauldrons,ranger,"Tailored fit without pinch keeps the bow arm true, long shots feel earned.",72,62,82,82,"swift shoulderguards, flexible leather guards, minimal snag profile, clean hardware, isolated item, no glow."
70,Kings Shoulders,Pauldrons,armor,light,pauldrons,ranger,"Dark guards keep their color and hide dust and blood, stay quiet.",76,66,86,86,"royal shoulders, refined leatherwork, gold trimmed buckles, faint contained glow stitch line, isolated item."
71,Night Guards,Pauldrons,armor,light,pauldrons,ranger,"Pale layers keep sweat from freezing, the will follows.",80,70,90,90,"night guards, dark leather, muted highlights, rugged straps, isolated item, no magic."
72,Ghost Mantle,Pauldrons,armor,light,pauldrons,ranger,"Stitching that refuses to loosen returns trust by inches, take them.",84,74,94,94,"ghost mantle, pale layered cloth, soft folds, thin glowing seam in inner fold, contained, isolated item."
73,Eternal Guards,Pauldrons,armor,light,pauldrons,ranger,"A drape cut with purpose makes you feel marked for work, work comes.",88,78,98,98,"eternal guards, immaculate construction, silver inlay channels, steady glow seams, isolated item."
74,Mythic Drapes,Pauldrons,armor,light,pauldrons,ranger,"Cloth that catches first light looks almost clean, remember clean.",92,82,102,100,"mythic drapes, flawless drape geometry, radiant sigils contained, isolated item."
75,Dominion Shoulders,Pauldrons,armor,light,pauldrons,ranger,"Final shoulders sit light and sure, duty stops shrinking you.",96,86,106,100,"dominion shoulders, heroic shoulder set, bright runes in thin lines, contained radiance, isolated item."
76,Thin Grips,Gloves,armor,light,gloves,ranger,"Barely padded leather keeps skin on a little longer, splinters still vote.",0,0,10,10,"minimal leather grips, thin fingerless gloves, frayed edges, worn palm, isolated item, no glow."
77,Patchwork Handwraps,Gloves,armor,light,gloves,ranger,"Patchwork wraps warm the wrist, shaking hides better.",4,0,14,14,"patchwork handwraps, cloth wraps with leather patches, messy knotwork, isolated item, no magic."
78,Ragged Gloves,Gloves,armor,light,gloves,ranger,"Torn fingertips let cold in, blood stays in, choose blood.",8,0,18,18,"ragged gloves, torn fingertips, split seams, travel grime, isolated item, no glow."
79,Worn Mitts,Gloves,armor,light,gloves,ranger,"Smooth palms slip on wet string, wipe them and keep pretending.",12,2,22,22,"worn mitts, softened leather, slick palm wear, loose stitching, isolated item, no magic."
80,Plain Gloves,Gloves,armor,light,gloves,ranger,"Simple gloves keep hands from cracking, pride is optional.",16,6,26,26,"plain gloves, simple leather, basic seams, dull finish, isolated item, no glow."
81,Ranger Grips,Gloves,armor,light,gloves,ranger,Soft palm leather and quiet seams favor patience over strength.,20,10,30,30,"ranger grips, oiled leather palm, quiet stitching, fitted cut, isolated item, no magic."
82,Braced Handwraps,Gloves,armor,light,gloves,ranger,"Brace bands stop tremor on climbs, doubt remains.",24,14,34,34,"braced handwraps, wrist brace band, tight wraps, reinforced seam, isolated item, no glow."
83,Steady Wristwraps,Gloves,armor,light,gloves,ranger,"Warm wraps keep fingers loose, shots stay true.",28,18,38,38,"steady wristwraps, cloth wraps, neat knotwork, supportive band, isolated item, no magic."
84,Keen Gripgloves,Gloves,armor,light,gloves,ranger,"Cleaner palm cut catches less on brush, grip improves.",32,22,42,42,"keen gripgloves, clean palm texture, reinforced fingers, precise stitching, isolated item, no glow."
85,Weathered Gloves,Gloves,armor,light,gloves,ranger,"Pine tar in the leather dulls string bite, the hand lasts.",36,26,46,46,"weathered gloves, pine tar stains, sun faded leather, rugged seams, isolated item, no magic."
86,Scout Grips,Gloves,armor,light,gloves,ranger,"Climbing cut grips hold on wet stone, the fall feels farther away.",40,30,50,50,"scout grips, climbing cut gloves, extra grip texture, worn knuckles, isolated item, no glow."
87,Hunt Handwraps,Gloves,armor,light,gloves,ranger,"Close wraps keep the wrist tight, knives feel eager, minds stay calm.",44,34,54,54,"hunt handwraps, tight wraps, knife hand mobility, scuffed leather patches, isolated item, no magic."
88,Shadow Grips,Gloves,armor,light,gloves,ranger,"Dark palms give nothing back, hiding feels easier.",48,38,58,58,"shadow grips, dark leather gloves, low reflection finish, tight cuff, isolated item, no glow."
89,Wind Gloves,Gloves,armor,light,gloves,ranger,"Cuffs block wind and keep fingers loose, timing improves.",52,42,62,62,"wind gloves, snug cuffs, layered leather, faint runic etch on clasp, thin contained glow, isolated item."
90,Moon Gripgloves,Gloves,armor,light,gloves,ranger,"Cool lining keeps sweat down, grip stays true.",56,46,66,66,"moon gripgloves, pale lining, precise seams, clean silhouette, isolated item, no magic."
91,Ridge Wristwraps,Gloves,armor,light,gloves,ranger,"High wraps brace the wrist, long shots feel earned.",60,50,70,70,"ridge wristwraps, high riding wraps, bracing band, rugged ties, isolated item, no glow."
92,Long Handwraps,Gloves,armor,light,gloves,ranger,"Long wraps take scrapes meant for skin, arms stay quiet.",64,54,74,74,"long handwraps, wraps up forearm, reinforced ends, travel scuffs, isolated item, no magic."
93,Kings Grips,Gloves,armor,light,gloves,ranger,A fit too fine for swamp work makes you act like you deserve it.,68,58,78,78,"royal grips, refined leatherwork, gold trimmed clasp, faint luminous trace, isolated item."
94,Night Handwraps,Gloves,armor,light,gloves,ranger,"Dark wraps hide dirt and quiet cuffs, night watches shorten.",72,62,82,82,"night handwraps, dark cloth wraps, quiet knotwork, low shine, isolated item, no glow."
95,Ghost Gripgloves,Gloves,armor,light,gloves,ranger,"Pale gloves move like bandages, hands shake less.",76,66,86,86,"ghost gripgloves, pale leather gloves, bandage like wraps, thin glowing seam inside cuff, contained, isolated item."
96,Black Gloves,Gloves,armor,light,gloves,ranger,Soot black dye and bright wear at the tips keep you precise.,80,70,90,90,"black gloves, matte dyed leather, bright fingertip wear, controlled scuffing, isolated item, no magic."
97,Farsight Wristwraps,Gloves,armor,light,gloves,ranger,Light wraps that do not bind make long shots feel possible.,84,74,94,94,"farsight wristwraps, light wraps, free wrist movement, precise seams, isolated item, no glow."
98,Dominion Grips,Gloves,armor,light,gloves,ranger,"Grip closes clean and stays closed, mercy waits.",88,78,98,98,"dominion grips, heroic glove pair, silver inlay channels, steady glow seams, isolated item."
99,Prime Handwraps,Gloves,armor,light,gloves,ranger,Knotwork with no loose ends makes hands tools again.,92,82,102,100,"prime handwraps, perfect knotwork, clean edges, radiant sigils contained, isolated item."
100,Paragon Gripgloves,Gloves,armor,light,gloves,ranger,Quiet leather and everything in place let the finger choose.,96,86,106,100,"paragon gripgloves, immaculate leather, bright runes in thin lines, contained radiance, isolated item."
101,Ragged Strap,Belt,armor,light,belt,ranger,"A rag strap and bent buckle carry a knife and a prayer, neither is guaranteed.",0,0,10,10,"ragged strap belt, frayed leather, bent buckle, cracked holes, isolated item, no glow."
102,Worn Cord,Belt,armor,light,belt,ranger,"Cord polished by anxious hands keeps the kit tied down, the mind stays loose.",4,0,14,14,"worn cord belt, simple rope cord, tied knots, stained fibers, isolated item, no magic."
103,Plain Belt,Belt,armor,light,belt,ranger,"Simple belt with dull bite keeps pouches from bouncing, quiet is cheaper.",8,0,18,18,"plain belt, simple leather strap, dull buckle, minimal loops, isolated item, no glow."
104,Frayed Belt,Belt,armor,light,belt,ranger,Loose fibers at the edge and stubborn knots survive by refusing to look new.,12,2,22,22,"frayed belt, split edges, patched holes, worn buckle, isolated item, no magic."
105,Rough Sash,Belt,armor,light,belt,ranger,"Coarse sash wraps twice and holds ribs warm, hunger stays polite.",16,6,26,26,"rough sash, coarse cloth wrap, uneven dye, frayed ends, isolated item, no glow."
106,Steady Belt,Belt,armor,light,belt,ranger,Clean buckle bite and aligned holes stop fumbling in the dark.,20,10,30,30,"steady belt, better leather, clean buckle bite, sturdy loops, isolated item, no magic."
107,Keen Girdle,Belt,armor,light,belt,ranger,"Tight leather with a sharp cut sits high, hips tire later.",24,14,34,34,"keen girdle, tight leather, crisp cut edges, reinforced buckle, isolated item, no glow."
108,Weathered Sash,Belt,armor,light,belt,ranger,"Rain darkened cloth dries stiff and stays put, stubborn again.",28,18,38,38,"weathered sash, rain stained cloth, worn knotwork, travel scuffs, isolated item, no magic."
109,Scout Cord,Belt,armor,light,belt,ranger,"Thin cord with many knots holds traps and small tools, sap smell follows.",32,22,42,42,"scout cord, thin cord belt, many knots, small tool loops, isolated item, no glow."
110,Trail Belt,Belt,armor,light,belt,ranger,"Built for long miles, it carries salt and twine, excuses too.",36,26,46,46,"trail belt, leather belt with pouches, rugged stitching, worn buckle, isolated item, no magic."
111,Field Belt,Belt,armor,light,belt,ranger,Muddy leather and a dull buckle keep arrows from clattering at the worst time.,40,30,50,50,"field belt, muddy leather, dull buckle, arrow loop attachments, isolated item, no glow."
112,Wind Belt,Belt,armor,light,belt,ranger,"Light belt with no flaps keeps cloth from snagging, bodies keep moving.",44,34,54,54,"wind belt, light leather, low flap profile, tight hardware, isolated item, no magic."
113,Moon Girdle,Belt,armor,light,belt,ranger,"Pale band under dark cloth looks clean in night light, stomachs sink less.",48,38,58,58,"moon girdle, pale leather band, subtle patterning, clean finish, isolated item, no glow."
114,Ridge Cord,Belt,armor,light,belt,ranger,"A clasp that holds on climbs keeps the load close, the spine thanks you.",52,42,62,62,"ridge cord, climbing cord belt, reinforced knots, faint runic etch on clasp ring, thin contained glow, isolated item."
115,Long Sash,Belt,armor,light,belt,ranger,"Extra cloth wraps twice and warms the lower back, luck stays cold.",56,46,66,66,"long sash, layered cloth wrap, extended tail ends, travel grime, isolated item, no magic."
116,Storm Waistband,Belt,armor,light,belt,ranger,"A waistband that holds in rain keeps knots from slipping, watch longer.",60,50,70,70,"storm waistband, water resistant band, tight knotwork, rain streaking, isolated item, no glow."
117,Wayfarer Belt,Belt,armor,light,belt,ranger,"Travel leather with neat repairs makes miles feel manageable, keep counting.",64,54,74,74,"wayfarer belt, patched leather, tidy repairs, mixed dye tones, isolated item, no magic."
118,Ghost Girdle,Belt,armor,light,belt,ranger,"Gray band vanishes under dust, showing becomes optional.",68,58,78,78,"ghost girdle, gray leather band, low reflection finish, minimal ornament, isolated item, no glow."
119,Black Belt,Belt,armor,light,belt,ranger,"Dark leather drinks light and leaves the buckle to gleam, hard choices look easy.",72,62,82,82,"black belt, matte dark leather, polished buckle edge, controlled wear, isolated item, no magic."
120,Farsight Waistband,Belt,armor,light,belt,ranger,"Breathing room and steady fit keep draws smooth, haste loses.",76,66,86,86,"farsight waistband, comfortable cut, clean stitching, subtle luminous trace in seam, isolated item."
121,Highland Cord,Belt,armor,light,belt,ranger,"Thicker cord and tight knots hold in cold wind, sweat freezes slower.",80,70,90,90,"highland cord, thick rope belt, rugged knots, cold weather wear, isolated item, no glow."
122,Vanguard Sash,Belt,armor,light,belt,ranger,Balanced weight and clean cloth make readiness feel real.,84,74,94,94,"vanguard sash, clean cloth wrap, disciplined knotwork, faint contained glow stitch line, isolated item."
123,Paragon Girdle,Belt,armor,light,belt,ranger,"Buckle closes like certainty, checking twice ends.",88,78,98,98,"paragon girdle, impeccable leatherwork, silver inlay channels, steady glow seams, isolated item."
124,Firstlight Belt,Belt,armor,light,belt,ranger,"Bright stitch catches dawn once, keep walking.",92,82,102,100,"firstlight belt, bright stitch accents, refined buckle, radiant sigils contained, isolated item."
125,Sovereign Waistband,Belt,armor,light,belt,ranger,"Final waistband holds kit and resolve, do not waste it.",96,86,106,100,"sovereign waistband, heroic waistband silhouette, bright runes in thin lines, contained radiance, isolated item."
126,Plain Leggings,Lower Armor,armor,light,lower_armor,ranger,"Simple cloth on the legs snags on brush, skin tears less.",0,0,10,10,"simple cloth leggings, worn knees, frayed hems, isolated item, no glow."
127,Frayed Trousers,Lower Armor,armor,light,lower_armor,ranger,"Frayed cuffs and thin knees still kneel, duty does not ask comfort.",4,0,14,14,"frayed trousers, split cuffs, patched knees, travel grime, isolated item, no magic."
128,Rough Pants,Lower Armor,armor,light,lower_armor,ranger,"Coarse pants rub the thighs raw, ignore it or stop, do not stop.",8,0,18,18,"rough pants, coarse fabric, reinforced seat, scuffed knees, isolated item, no glow."
129,Old Legwraps,Lower Armor,armor,light,lower_armor,ranger,"Dusty wraps come loose at dawn, retie them and keep quiet.",12,2,22,22,"old legwraps, cloth wraps on calves, dusty staining, loose ties, isolated item, no magic."
130,Thin Leathers,Lower Armor,armor,light,lower_armor,ranger,"Thin hide over the shin stays light and unforgiving, speed survives.",16,6,26,26,"thin leathers, light leather leggings, minimal padding, tight fit, isolated item, no glow."
131,Weathered Leggings,Lower Armor,armor,light,lower_armor,ranger,"Rain darkens the fabric, mended seams hold, movement stays.",20,10,30,30,"weathered leggings, rain stained fabric, mended seams, muted dye, isolated item, no magic."
132,Scout Legwraps,Lower Armor,armor,light,lower_armor,ranger,"Climbing wraps grip the calf, stones bite less.",24,14,34,34,"scout legwraps, climbing wraps, snug calf ties, small protective pads, isolated item, no glow."
133,Trail Trousers,Lower Armor,armor,light,lower_armor,ranger,Trail cut with reinforced seat keeps you from sitting down for good.,28,18,38,38,"trail trousers, reinforced seat, rugged stitching, worn belt loops, isolated item, no magic."
134,Field Pants,Lower Armor,armor,light,lower_armor,ranger,"Muddy cloth dries quick and keeps nettles out, shame stays in.",32,22,42,42,"field pants, muddy cloth, quick dry weave, patched knees, isolated item, no glow."
135,Keen Leggings,Lower Armor,armor,light,lower_armor,ranger,Cleaner fit and less drag in brush make sprinting feel honest.,36,26,46,46,"keen leggings, cleaner fit, precise seams, controlled wear, isolated item, no magic."
136,Braced Leggings,Lower Armor,armor,light,lower_armor,ranger,"Hidden knee bracing holds steady, stumbles stop becoming stories.",40,30,50,50,"braced leggings, hidden knee braces, reinforced stitching, stable shape, isolated item, no glow."
