sequence,item_name,item_type,major_category,archetype,slot_family,allowed_class,flavor_text,base_level,drop_min_level,drop_max_level_raw,drop_max_level_capped,prompt_item_description
13,Cairn Greathelm,Helmet,armor,heavy,helmet,warrior,"Coal smoke lives in the lining.",48,38,58,58,"cairn greathelm; deep bowl with broad cheek coverage and extra thick plate thickness, blunt edge bevels; stone-grey steel tint with soot and ash staining, matte oiled finish; restrained ornament: thin engraved band motif resembling stacked stones (cairn chevrons) around the rim, filled with darkened metal, no glow; controlled scuffs and edge nicks; magic: none; isolated item, no glow."
14,Greyseal Warhelm,Helmet,armor,heavy,helmet,warrior,"The inside carries a quiet tally mark that outlived the last owner.",52,42,62,62,"greyseal warhelm; reinforced helmet with braced ridge, open face, and neat inlay channels along the rim; cool steel with a disciplined matte-oiled finish, controlled scuffs and edge nicks; engraved sealwork filled with muted ink-blue inlay and tiny restrained crimson lacquer accents, no glow; tidy rivet rows, dark leather strap and liner; magic: none; isolated item, no glow."
15,Ashenward Visor,Helmet,armor,heavy,helmet,warrior,"A thin ash-grey line marks the brow, and the slit stays mean.",56,46,66,66,"ashenward visor helm; angular faceplate with a clean narrow slit, layered plates, reinforced hinges; ash-grey steel tint with matte oiled finish and soot staining in seams; restrained ornament: thin ward-sigil etch along brow line filled with muted ink-blue, tiny restrained crimson accent marks, no glow; controlled scuffs and edge nicks; magic: none; isolated item, no glow."
16,Wardenlight Visor,Helmet,armor,heavy,helmet,warrior,"The trim is polished for night work, and the slit feels narrower when the metal starts shining back.",60,50,70,70,"wardenlight visor helm; angular faceplate with narrow eye slit, clean hinge work, layered plates; cool steel with satin polish, disciplined rivet rows, controlled scuffs; decoration: brass edge trim and gilt studs, sun-yellow lacquer in engraved channels; arcane: very faint warm-yellow luminous trace contained only inside the engraved grooves, no spill; magic restrained; isolated item, no glow outside grooves."
17,Dreadmere Bascinet,Helmet,armor,heavy,helmet,warrior,"The brow is pitted like old dock iron, and it never quite dries.",64,54,74,74,"dreadmere bascinet; thick brow and overlapping plates, hard-edged geometry and sharp bevels; dark steel with blackened accents and damp patina, pitting like dock iron; decoration: small functional spikes on the brow ridge and crown seam (short, blunt, not oversized), blackened rivet heads; arcane: faint contained glow line only inside a narrow inner groove, no spill; controlled scuffs, grime in seams; isolated item, no glow outside grooves."
18,Highguard Visor,Helmet,armor,heavy,helmet,warrior,"Polished edges hide the face, and leave only the voice to carry.",68,58,78,78,"highguard visor helm; angular faceplate with narrow slit, wide forward-sloping brow line; material: high-quality tempered steel with cool satin sheen and clean grind lines; craftsmanship: elite armory smithing for disciplined battlefield use; details: precise severe engraving cut into brow band and hinge plates, blackened hardware and dark leather liner; arcane: pale threadlines sit within the engraved grooves like sewn light, faint but active, fully contained in channels, no spill; isolated item."
19,Stormvale Crownhelm,Helmet,armor,heavy,helmet,warrior,"Cold steel carries a blue cast, and the breath inside tastes like rain.",72,62,82,82,"stormvale crownhelm; tall crest ridge and layered faceplate with disciplined geometry; material: storm-forged tempered steel with cool bluish-grey tone and lightning-like grain lines through the plates; craftsmanship: high-skill valley forge work, refined balance with battlefield durability; details: etched channel-lines along the crest ridge and faceplate seams catch light as faint pale-blue filaments, glow stays trapped inside grooves and steel grain, no spill; blackened rivets, dark leather liner; magic: subtle storm-aspected enchantment, dormant until impact; isolated item."
20,Galeiron Warhelm,Helmet,armor,heavy,helmet,warrior,Edges that look wind-polished.,76,66,86,86,"galeiron warhelm; hard-edged war helm with a tall brow ridge and fluted crown; material: high-quality tempered steel with a cool bluish-grey satin sheen and faint wind-chased grain lines; craftsmanship: elite field armory work, severe and exact; details: shallow wind-knot chevron engraving with blackened inlay, blackened rivets, dark leather liner; arcane: very thin pale-blue filament lines contained inside engraved grooves only, no spill or bloom; magic: subtle gale-aspected ward-channeling, dormant until impact; isolated item."
21,Silvermark Greathelm,Helmet,armor,heavy,helmet,warrior,"It carries a hush like chapel stone, and the world seems briefly less certain around it.",80,70,90,90,"silvermark greathelm; hard-edged greathelm with a disciplined brow ridge and clean crown planes; material: polished tempered steel with soft silver-grey sheen and precise symmetrical grind lines; craftsmanship: masterful armory smithing with refined proportions; details: small engraved silver sigil near the brow, faint contained arcane glow threads along a single narrow engraved channel and stays trapped inside the engraving only, no spill; dark leather liner, clean rivets; magic: restrained arcane enchantment bound into the sigil; isolated item."
22,Reliquary Barbute,Helmet,armor,heavy,helmet,warrior,A quiet weight where thoughts settle.,84,74,94,94,"reliquary barbute; monastic barbute helm with clean crown planes and a disciplined brow ridge; material: polished tempered steel with soft silver-grey sheen and precise symmetrical grind lines; craftsmanship: masterful armory smithing with refined proportions; details: a small engraved reliquary seal-sigil at the brow, arcane lines are clearly visible as bright silver-white filaments held within a single narrow channel and within the sigil only, high-contrast but thin, no spill or bloom beyond the engraving; dark leather liner, minimal blackened rivets; magic: restrained but clearly visible arcane enchantment bound into the sigil; isolated item."
23,Crestfall Armet,Helmet,armor,heavy,helmet,warrior,The crest is gone. The silence it left is not.,88,78,98,98,"crestfall armet; monastic armet helm with a broken crest ridge and calm, hard-edged planes; material: polished tempered steel with soft silver-grey sheen and precise symmetrical grind lines; craftsmanship: masterwork armory smithing, severe and balanced; details: a fractured crestfall seal-sigil engraved at the brow; arcane lines are clearly visible as bright silver-white filaments contained strictly within the sigil and a single narrow channel only, high-contrast but thin, no spill or bloom beyond the engraving; blackened rivets, dark leather liner; magic: clearly visible arcane binding anchored in the sigil; isolated item."
24,Umbracant Armet,Helmet,armor,heavy,helmet,warrior,The hymn begins in shadow.,92,82,102,100,"umbracant armet; mythic armet helm with a broken crest ridge and severe, choirlike geometry; material: abyss-dark tempered steel with a cold silver-grey edge band and precise symmetrical grind lines; craftsmanship: peak masterwork, impossible symmetry; details: canticle script engraving spirals around the brow into a small sealed sigil; arcane: the script is clearly visible as bright silver-white filaments seated inside the engraved lines only, high-contrast and readable, no spill or bloom beyond engraving; blackened rivets, dark leather liner; magic: apex-grade umbral ward-song bound into the sigil and script, disciplined containment; isolated item."
25,Imperial Visor,Helmet,armor,heavy,helmet,warrior,The hymn of the Empire begins behind closed steel.,96,86,106,100,"imperial visor; imposing visor helm with tall brow ridge and flared cheek lines, strict symmetry; material: masterwork imperial steel with brilliant silver sheen and clean grind lines; craftsmanship: supreme imperial armory forging; details: restrained laurel filigree in gold inlay at the brow and rim, blackened rivets, dark leather liner; arcane: a wheel-sigil core set at the brow emits clearly visible golden-white filaments that run along a single engraved channel and stay trapped inside the engraving only, no spill or bloom; magic: powerful court enchantment woven into steel, disciplined containment; isolated item."
26,Makeshift Cuirass,Upper Armor,armor,heavy,upper_armor,warrior,"Plates pull when you breathe.",0,0,10,10,"makeshift cuirass; patched coat-of-plates over dark brown leather backing; riveted rectangular plates with heavy dents and edge nicks, bent buckles, frayed straps; material: low-grade steel plates, matte cold grey with soot smudges; craftsmanship: camp-forged salvage, uneven plate spacing and quick repairs; magic: none; isolated item, no glow."
27,Worn Jerkin,Upper Armor,armor,heavy,upper_armor,warrior,"Patch plates sit wrong on the chest, and every turn makes them argue.",4,0,14,14,"worn heavy jerkin with riveted plate inserts; dark brown leather body with small rectangular steel plates showing through as stud lines; simple buckles, frayed straps, grime in seams; matte grey steel with scuffs and edge nicks; crude but consistent issue pattern; magic: none; isolated item, no glow."
28,Rainworn Cuirass,Upper Armor,armor,heavy,upper_armor,warrior,"Every rivet has a rust halo, and the chest creaks like it remembers a flooded watch.",8,0,18,18,"rainworn cuirass; battered coat-of-plates over dark leather backing; water streaks and damp staining, pitted rivets with orange rust halos at seams, frayed straps and bent buckles; matte cold grey steel plates with scuffs and dents; soaked leather darkened and creased; rough field-issue repairs; magic: none; isolated item, no glow."
29,Roadworn Jack,Upper Armor,armor,heavy,upper_armor,warrior,"Someone cared enough to repair it, but not enough to make it comfortable when you breathe deep.",12,2,22,22,"roadworn jack-of-plates; dark leather vest with riveted inner plates reading as dense stud lines; stitched repairs along seams, creased straps, repunched holes, bent buckles; dull steel plates with scuffs and edge nicks, grime packed around rivets; consistent issue pattern with obvious field mending, no ornament; magic: none; isolated item, no glow."
30,Service Jack,Upper Armor,armor,heavy,upper_armor,warrior,"The plates stop shifting, and breathing gets easier.",16,6,26,26,"service jack-of-plates; dark leather vest with dense riveted inner plates (stud lines) and steadier strap geometry; buckles aligned, holes hold firm, seams tightened; dull steel plates with even scuffs and edge nicks, lightly oiled, grime kept to corners; craftsmanship: consistent armory issue pattern, functional repairs only; magic: none; isolated item, no glow."
31,Patrol Breastplate,Upper Armor,armor,heavy,upper_armor,warrior,"A chalk mark under the collar names the rack it came from, you keep it clean to keep it.",20,10,30,30,"patrol breastplate; broad front plate with thick collar guard and simple side lames; oiled matte steel, controlled scuffing and edge nicks; utilitarian rivet rows and plain buckles; restrained crimson accent: a narrow cloth edge binding at the collar; faint chalk inventory mark under collar; magic: none; isolated item, no glow."
32,Garrison Cuirass,Upper Armor,armor,heavy,upper_armor,warrior,"A neat maker's notch by the clasp says it was measured, not guessed, and it wears that way.",24,14,34,34,"garrison cuirass; squared chest plate with disciplined edges and a firm collar line; matte cold grey steel with controlled scuffs, filed rim, buckles seated; restrained dark olive accent: strap tabs and inner collar binding; consistent garrison issue pattern, no ornament; magic: none; isolated item, no glow."
33,Tower Harness,Upper Armor,armor,heavy,upper_armor,warrior,"The collar stands firm without choking.",28,18,38,38,"tower harness; fitted chest armor with disciplined collar line and layered plates that sit close; matte cold grey steel with controlled scuffs, filed rims, buckles seated; weight balanced for ladder work, minimal swing; dark leather underlayers; utilitarian tower issue, no ornament; magic: none; isolated item, no glow."
34,Rampart Cuirass,Upper Armor,armor,heavy,upper_armor,warrior,"A little notch by the clasp marks a quartermaster's habit, the fit is practical and unforgiving.",32,22,42,42,"rampart cuirass; braced chest armor with reinforcing bands and strong side buckles; black-tinted steel plates (darkened, oiled) with controlled scuffs, edge nicks, and minor dents; collar line stands firm, weight sits close; dark leather underlayers, straps routed tight; utilitarian issue build, no ornament; magic: none; isolated item, no glow."
35,Stoneguard Harness,Upper Armor,armor,heavy,upper_armor,warrior,"It wears like a door.",36,26,46,46,"stoneguard harness; thick layered plate segments with heavy collar line and squared chest, built to feel braced; stoneguard grey tint (cool slate-grey), matte oiled steel with blunt chamfers and extra thick edges; clean rivets in disciplined rows, controlled scuffs, grime confined to seams; dark leather underlayers; no ornament; magic: none; isolated item, no glow."
36,Valenmark Breastplate,Upper Armor,armor,heavy,upper_armor,warrior,"Rivets fall in strict lines, and you find yourself standing straighter to match them.",40,30,50,50,"valenmark-forged breastplate; squared shoulders and a firm collar line, practical strap system; material: high-quality tempered steel, cool grey with clean satin polish; craftsmanship: precise symmetry and disciplined rivet alignment; details: filed edges, controlled edge wear, buckles seated, grime minimal; magic: none; isolated item, no glow."
37,Blackridge Aegis,Upper Armor,armor,heavy,upper_armor,warrior,"The plates meet with no chatter, and the silence is its own kind of authority.",44,34,54,54,"blackridge aegis chestplate; central emblem plate and engraved channels, layered plate segments seated tight; black-tinted steel (darkened, oiled) with matte finish and crisp edge bevels; restrained black accents: blackened buckle hardware, dark leather underlayers; wear is controlled, no bright highlights, grime minimal; magic: none; isolated item, no glow."
38,Cairn Warplate,Upper Armor,armor,heavy,upper_armor,warrior,"The collar line is measured twice, and the breast stops shifting even when the straps are wet.",48,38,58,58,"cairn warplate; thick overlapping plates with a firm collar guard and heavy clasp geometry; stone-grey steel tint, matte oiled finish with heavy scratches and hardened wear; restrained ornament: narrow engraved cairn band along collar edge and central plate border, dark inlay fill, no glow; straps and buckles seated, grime minimal; magic: none; isolated item, no glow."
39,Greyseal Cuirass,Upper Armor,armor,heavy,upper_armor,warrior,"The chest sits close and disciplined, built for long watch hours when the body has to feel like a wall.",52,42,62,62,"greyseal cuirass; reinforced chest armor with neat rivet rows and a firm collar line, strap geometry seated tight; cool steel with matte-oiled finish, crisp bevels, controlled wear; engraved seal channels along collar and plate borders filled with muted ink-blue inlay and restrained crimson accents, no glow; dark leather underlayers, grime minimal; magic: none; isolated item, no glow."
40,Ashenward Warplate,Upper Armor,armor,heavy,upper_armor,warrior,"It smells of cold hearth.",56,46,66,66,"ashenward warplate; heavy plate harness with reinforced joints and a firm collar line; ash-grey steel tint, matte oiled finish with soot smudges and battle grime confined to seams; restrained ornament: subtle ward-sigil etch along collar and plate borders with muted ink-blue fill and tiny restrained crimson accents, no glow; controlled wear, no bright highlights; magic: none; isolated item, no glow."
41,Wardenlight Breastplate,Upper Armor,armor,heavy,upper_armor,warrior,"A neat sun-yellow edging runs the collar line, the kind of decoration meant for witnesses, not comfort.",60,50,70,70,"wardenlight breastplate; angular plates with sturdy clasps and disciplined polish; decoration: brass collar edging, gilt studs, sun-yellow binding strip and lacquered inlay channels; arcane: faint warm-yellow luminous trace contained within the inlay grooves only, no spill; controlled wear, grime minimal; magic restrained; isolated item, no glow outside grooves."
42,Dreadmere Aegis,Upper Armor,armor,heavy,upper_armor,warrior,"It wears cold.",64,54,74,74,"dreadmere aegis chestplate; banded iron ribs and protected joints, hard-edged angular plates; dark steel with blackened accents, damp-dark sheen, salt-stiff straps; decoration: blackened studs and a few short blunt spikes along the collar edge, minimal but grim; arcane: thin contained glow line only inside inner band grooves, no spill; controlled wear, grime confined to joints; isolated item, no glow outside grooves."
43,Highguard Cuirass,Upper Armor,armor,heavy,upper_armor,warrior,"It sits close and refuses argument.",68,58,78,78,"highguard cuirass; disciplined chest armor with firm collar line and tight strap geometry; material: high-quality tempered steel with cool satin sheen, crisp facets and hard edges; craftsmanship: elite armory smithing; details: severe channel engraving along collar and plate borders, blackened studs, dark leather underlayers, controlled wear; arcane: pale threadlines within the engraving grooves, faint and contained, no spill; isolated item."
44,Stormvale Warplate,Upper Armor,armor,heavy,upper_armor,warrior,"Angled plates shed blows clean, and the weight sits balanced like a practiced stance.",72,62,82,82,"stormvale warplate; forward angled chest with layered plates and reinforced joints; material: storm-forged tempered steel, cool bluish-grey satin sheen with lightning-like grain lines; craftsmanship: elite valley armory work for disciplined use; details: precise channel-etching along collar and plate borders, faint pale-blue filaments trapped inside the grooves only, no spill; blackened hardware, dark leather underlayers, controlled wear; magic: subtle storm-aspected ward-channeling, dormant until impact; isolated item."
45,Galeiron Breastplate,Upper Armor,armor,heavy,upper_armor,warrior,"The grind marks are clean enough to read by lamplight, and the fit makes you feel taller for reasons you did not earn.",76,66,86,86,"galeiron breastplate; hard-edged upper armor with layered chest plates and a disciplined collar line; material: high-quality tempered steel with cool bluish-grey satin sheen and faint wind-chased grain; craftsmanship: elite forge fit, rigid but mobile; details: shallow wind-knot chevron engraving along collar and plate borders with blackened inlay, blackened hardware, dark leather underlayers; arcane: very thin pale-blue filament lines contained inside engraved grooves only, no spill; magic: subtle gale-aspected ward-channeling bound to collar and engraving, dormant until impact; isolated item."
46,Silvermark Cuirass,Upper Armor,armor,heavy,upper_armor,warrior,The sigil is engraved like a prayer you do not speak aloud.,80,70,90,90,"silvermark cuirass; elegant upper armor with layered chest plates and a refined collar line; material: polished tempered steel with soft silver-grey sheen, precise symmetrical grind lines and crisp bevels; craftsmanship: masterful armory smithing, immaculate fit; details: long narrow engraved channel running down the chest like a guided line, small engraved silver sigil near the upper chest above the collar seam; faint arcane glow travels along the channel only and remains contained inside the engraving, no spill or bloom; dark leather underlayers, minimal hardware; magic: restrained arcane enchantment bound into the sigil; isolated item."
47,Reliquary Carapace,Upper Armor,armor,heavy,upper_armor,warrior,The surface holds light the way old stone holds heat.,84,74,94,94,"reliquary carapace; layered upper armor with refined collar line and calm, symmetrical plate geometry; material: polished tempered steel with soft silver-grey sheen, crisp bevels and precise grind lines; craftsmanship: masterwork fit, severe and balanced; details: engraved reliquary seal-sigil near the sternum with one long narrow channel running down from it; arcane glow is clearly visible as bright silver-white filaments contained strictly inside the sigil and the channel only, no spill/bloom outside the engraving; dark leather underlayers, minimal blackened hardware; magic: restrained but clearly visible arcane binding anchored to the sigil; isolated item."
48,Crestfall Cuirass,Upper Armor,armor,heavy,upper_armor,warrior,Silver holds its breath here.,88,78,98,98,"crestfall cuirass; refined upper armor with layered chest plates and a disciplined collar line; material: polished tempered steel with soft silver-grey sheen, crisp bevels and precise grind lines; craftsmanship: masterwork fit, symmetrical and exact; details: a broken-crest crestfall seal-sigil engraved above the sternum with one long narrow channel descending from it; arcane glow is clearly visible as bright silver-white filaments contained strictly inside the sigil and the channel only, no spill/bloom outside engraving; blackened hardware, dark leather underlayers; magic: clearly visible arcane ward-channeling bound into the sigil; isolated item."
49,Umbracant Cuirass,Upper Armor,armor,heavy,upper_armor,warrior,Its mark is bright enough to read and too old to forgive.,92,82,102,100,"umbracant cuirass; mythic upper armor with layered chest plates and a disciplined collar line, strict symmetry; material: abyss-dark tempered steel with cold silver-grey edge bands, crisp bevels and clean grind lines; craftsmanship: peak masterwork fit, severe and exact; details: sealed sigil set above the sternum with canticle script channeling down the chest in one long narrow line; arcane: bright silver-white filaments run the channel and sigil only, clearly visible and contained strictly within engraving, no spill/bloom; blackened hardware, dark leather underlayers; magic: apex umbral ward-song bound to sigil and channel, contained; isolated item."
50,Imperial Warplate,Upper Armor,armor,heavy,upper_armor,warrior,"The chest bears an imperial verse, and forgiveness is not among its lines.",96,86,106,100,"imperial warplate; imposing upper armor with layered chest plates and an elegant imperial collar, strict symmetry; material: masterwork imperial steel with brilliant silver sheen, crisp bevels and refined grind lines; craftsmanship: supreme imperial armory forging enhanced by court enchantments; details: arcane filigree engraved into flared collar edges with restrained gold inlay; a wheel-sigil core set above the sternum feeds a long central channel like a fuller; arcane: clearly visible golden-white sigils and filaments run within the central channel and collar engraving only, subtle energy shimmer hugs the beveled edges without leaving the silhouette, no spill/bloom; blackened hardware, dark leather underlayers; magic: powerful imperial enchantment bound to sigil and channels, contained; isolated item."
51,Makeshift Pauldrons,Pauldrons,armor,heavy,pauldrons,warrior,"They slide when you turn.",0,0,10,10,"makeshift pauldrons; mismatched shoulder plates over leather cups; crooked rivets, stretched straps, heavy dents, grime; material: dull iron and low steel, matte grey; craftsmanship: camp-forged salvage, asymmetrical plates and rough edges; magic: none; isolated item, no glow."
52,Worn Pads,Pauldrons,armor,heavy,pauldrons,warrior,"One shoulder rides high.",4,0,14,14,"worn shoulder pads (pair); shallow steel plates over dark leather cups; one cup slightly higher, straps stretched and rubbed smooth; matte cold grey steel with scuffed edges and small dents, grime packed near rivets; utilitarian issue construction; magic: none; isolated item, no glow."
53,Rainworn Shoulders,Pauldrons,armor,heavy,pauldrons,warrior,"The rust flakes on your sleeve.",8,0,18,18,"rainworn shoulders (pair); dull steel shoulder plates over dark leather cups; rain-washed grime, rust freckles at rivets, strap holes softened and stretched; matte cold grey steel with edge nicks and shallow dents; utilitarian issue construction, no ornament; magic: none; isolated item, no glow."
54,Roadworn Spaulders,Pauldrons,armor,heavy,pauldrons,warrior,"The repairs pull at the seam.",12,2,22,22,"roadworn spaulders (pair); mixed small shoulder plates over dark leather cups; visible repair plates, doubled strap segments, mismatched rivets, thread-heavy seamwork; dull steel with scuffs, shallow dents, grime at joints; functional asymmetry but still a matched pair silhouette; magic: none; isolated item, no glow."
55,Service Spaulders,Pauldrons,armor,heavy,pauldrons,warrior,"The shoulder sits square, and the neck gets room.",16,6,26,26,"service spaulders (pair); matched shoulder plates over dark leather cups, squarer sit and cleaner edge band; strap routing tidied, rivets set in straighter rows; matte cold grey steel with controlled scuffs and small dents, grime confined to joints; craftsmanship: consistent issue make, no ornament; magic: none; isolated item, no glow."
56,Patrol Spaulders,Pauldrons,armor,heavy,pauldrons,warrior,"The curve is practical and plain, built for doorways and shields more than pride.",20,10,30,30,"patrol spaulders (pair); practical curve with reinforced edge band; matte cold grey steel with corridor scrapes along the band, minor dents; tidy rivet rows, dark leather under-cups; restrained crimson accent: small stitch line on the leather edge; magic: none; isolated item, no glow."
57,Garrison Pauldrons,Pauldrons,armor,heavy,pauldrons,warrior,"Someone filed the rim smooth, and your neck notices every day you survive.",24,14,34,34,"garrison pauldrons (pair); double-layer shoulder plates with braced edge band and cleaner rim; matte cold grey steel with impact nicks and controlled scuffs, rivets in straight rows; restrained dark olive accent: muted leather under-cups and strap tabs; garrison issue construction, no ornament; magic: none; isolated item, no glow."
58,Tower Pauldrons,Pauldrons,armor,heavy,pauldrons,warrior,"Edges are filed, finally.",28,18,38,38,"tower pauldrons (pair); clean silhouette with braced edge bands and filed rims; matte cold grey steel with controlled scuffs and small dents, rivets in straight rows; dark leather under-cups, straps routed tight; utilitarian tower issue, minimal ornament; magic: none; isolated item, no glow."
59,Rampart Spaulders,Pauldrons,armor,heavy,pauldrons,warrior,"The edge band is thick enough to meet a doorframe without flinching.",32,22,42,42,"rampart spaulders (pair); high shoulder profile with reinforced hinge points and thick edge band; black-tinted steel (darkened, oiled) with corridor scrapes along the rim, impact nicks, and shallow dents; rivets in straight rows, straps seated; dark leather under-cups; no ornament; magic: none; isolated item, no glow."
60,Stoneguard Pauldrons,Pauldrons,armor,heavy,pauldrons,warrior,"The edge band is thick enough to meet a doorframe without flinching.",36,26,46,46,"stoneguard pauldrons (pair); broad shoulder plates with reinforced edge band and tight hinge points, extra thick plate depth; stoneguard grey tint (cool slate-grey), matte oiled steel with blunt bevels; corridor scrapes along the rim, controlled scuffs, shallow dents; dark leather under-cups, straps seated; no ornament; magic: none; isolated item, no glow."
61,Valenmark Spaulders,Pauldrons,armor,heavy,pauldrons,warrior,"A shallow grind line catches torchlight, and it reads like a smith who would not hurry.",40,30,50,50,"valenmark-forged spaulders (pair); thick plates with braced edge bands and clean bevels; material: tempered steel, cool grey satin polish; craftsmanship: deliberate grind lines, rivets in straight rows; details: controlled scuffs and deep scratches confined to the rim, straps routed tight, dark leather under-cups; magic: none; isolated item, no glow."
62,Blackridge Pauldrons,Pauldrons,armor,heavy,pauldrons,warrior,"The corner is eased, and doorways stop taking payment.",44,34,54,54,"blackridge pauldrons (pair); braced edge band with eased corners, clean hinge points; black-tinted steel (darkened, oiled) with matte finish, crisp bevels; restrained black accents: dark leather under-cups and strap tabs, blackened rivet heads; corridor scrapes along the rim, controlled scuffs; magic: none; isolated item, no glow."
63,Cairn Mantlets,Pauldrons,armor,heavy,pauldrons,warrior,"The shoulder was built for stone corners and shield rims, a quiet kindness from a forge that knows how bodies fail.",48,38,58,58,"cairn mantlets (pair); layered shoulder plates with heavy trim and thick edge bands, hardened build; stone-grey steel tint, matte oiled finish, controlled scuffs and deep rim scratches; restrained ornament: small cairn-chevron engraving on the edge band, dark filled lines, no glow; dark leather under-cups, straps tight; magic: none; isolated item, no glow."
64,Greyseal Spaulders,Pauldrons,armor,heavy,pauldrons,warrior,"The plates interlock clean, and the shoulder turns without complaint.",52,42,62,62,"greyseal spaulders (pair); interlocking shoulder plates with clean hinge points and disciplined rivet rows; cool steel with matte-oiled finish, controlled scuffs; subtle engraved sealwork on inner band filled with muted ink-blue inlay and tiny restrained crimson accents, no glow; dark leather under-cups, straps seated; magic: none; isolated item, no glow."
65,Ashenward Mantlets,Pauldrons,armor,heavy,pauldrons,warrior,"Heat kissed the rim once.",56,46,66,66,"ashenward mantlets (pair); banded shoulder segments with protected joint ring and rolled edge band; ash-grey steel tint, matte oiled finish with faint heat-darkening at the rim, soot in joints; restrained ornament: thin ward-sigil etch on the edge band with muted ink-blue fill, tiny restrained crimson accents, no glow; straps seated, grime minimal; magic: none; isolated item, no glow."
