recipe_id,recipe_kind,output_consumable_id,output_tier,ingredient_1_code,ingredient_1_qty,ingredient_2_code,ingredient_2_qty,ingredient_3_code,ingredient_3_qty,ducat_cost,crafting_time_sec,required_level
distill_consumable_healing_potion_d1,distill,healing_potion,d1,consumable_healing_potion,3,,,,,0,2700,1
distill_consumable_healing_potion_d2,distill,healing_potion,d2,consumable_healing_potion_d1,3,,,,,0,7200,1
distill_consumable_second_wind_potion_d1,distill,second_wind_potion,d1,consumable_second_wind_potion,3,,,,,0,2700,1
distill_consumable_second_wind_potion_d2,distill,second_wind_potion,d2,consumable_second_wind_potion_d1,3,,,,,0,7200,1
distill_consumable_wardens_tonic_d1,distill,wardens_tonic,d1,consumable_wardens_tonic,3,,,,,0,2700,1
distill_consumable_wardens_tonic_d2,distill,wardens_tonic,d2,consumable_wardens_tonic_d1,3,,,,,0,7200,1
distill_consumable_hunters_tonic_d1,distill,hunters_tonic,d1,consumable_hunters_tonic,3,,,,,0,2700,1
distill_consumable_hunters_tonic_d2,distill,hunters_tonic,d2,consumable_hunters_tonic_d1,3,,,,,0,7200,1
distill_consumable_emberwake_tonic_d1,distill,emberwake_tonic,d1,consumable_emberwake_tonic,3,,,,,0,3600,15
distill_consumable_emberwake_tonic_d2,distill,emberwake_tonic,d2,consumable_emberwake_tonic_d1,3,,,,,0,9000,15
distill_consumable_berserkers_tonic_d1,distill,berserkers_tonic,d1,consumable_berserkers_tonic,3,,,,,0,3600,15
distill_consumable_berserkers_tonic_d2,distill,berserkers_tonic,d2,consumable_berserkers_tonic_d1,3,,,,,0,9000,15
distill_consumable_bulwark_tonic_d1,distill,bulwark_tonic,d1,consumable_bulwark_tonic,3,,,,,0,3600,15
distill_consumable_bulwark_tonic_d2,distill,bulwark_tonic,d2,consumable_bulwark_tonic_d1,3,,,,,0,9000,15
distill_consumable_wardwash_tonic_d1,distill,wardwash_tonic,d1,consumable_wardwash_tonic,3,,,,,0,3600,15
distill_consumable_wardwash_tonic_d2,distill,wardwash_tonic,d2,consumable_wardwash_tonic_d1,3,,,,,0,9000,15
distill_consumable_hexcleanse_tonic_d1,distill,hexcleanse_tonic,d1,consumable_hexcleanse_tonic,3,,,,,0,5400,30
distill_consumable_hexcleanse_tonic_d2,distill,hexcleanse_tonic,d2,consumable_hexcleanse_tonic_d1,3,,,,,0,10800,30
distill_consumable_sunspike_elixir_d1,distill,sunspike_elixir,d1,consumable_sunspike_elixir,3,,,,,0,5400,30
distill_consumable_sunspike_elixir_d2,distill,sunspike_elixir,d2,consumable_sunspike_elixir_d1,3,,,,,0,10800,30
distill_consumable_graveward_elixir_d1,distill,graveward_elixir,d1,consumable_graveward_elixir,3,,,,,0,5400,30
distill_consumable_graveward_elixir_d2,distill,graveward_elixir,d2,consumable_graveward_elixir_d1,3,,,,,0,10800,30
distill_consumable_deadeye_elixir_d1,distill,deadeye_elixir,d1,consumable_deadeye_elixir,3,,,,,0,4500,15
distill_consumable_deadeye_elixir_d2,distill,deadeye_elixir,d2,consumable_deadeye_elixir_d1,3,,,,,0,9000,15
distill_consumable_wardens_challenge_elixir_d1,distill,wardens_challenge_elixir,d1,consumable_wardens_challenge_elixir,3,,,,,0,4500,15
distill_consumable_wardens_challenge_elixir_d2,distill,wardens_challenge_elixir,d2,consumable_wardens_challenge_elixir_d1,3,,,,,0,9000,15
distill_consumable_shadowveil_elixir_d1,distill,shadowveil_elixir,d1,consumable_shadowveil_elixir,3,,,,,0,4500,15
distill_consumable_shadowveil_elixir_d2,distill,shadowveil_elixir,d2,consumable_shadowveil_elixir_d1,3,,,,,0,9000,15
distill_consumable_travelers_elixir_d1,distill,travelers_elixir,d1,consumable_travelers_elixir,3,,,,,0,4500,15
distill_consumable_travelers_elixir_d2,distill,travelers_elixir,d2,consumable_travelers_elixir_d1,3,,,,,0,9000,15
distill_consumable_contractors_resolve_elixir_d1,distill,contractors_resolve_elixir,d1,consumable_contractors_resolve_elixir,3,,,,,0,4500,15
distill_consumable_contractors_resolve_elixir_d2,distill,contractors_resolve_elixir,d2,consumable_contractors_resolve_elixir_d1,3,,,,,0,9000,15
distill_consumable_chroniclers_elixir_d1,distill,chroniclers_elixir,d1,consumable_chroniclers_elixir,3,,,,,0,7200,30
distill_consumable_chroniclers_elixir_d2,distill,chroniclers_elixir,d2,consumable_chroniclers_elixir_d1,3,,,,,0,14400,30
distill_consumable_ravagers_tonic_d1,distill,ravagers_tonic,d1,consumable_ravagers_tonic,3,,,,,0,5400,30
distill_consumable_ravagers_tonic_d2,distill,ravagers_tonic,d2,consumable_ravagers_tonic_d1,3,,,,,0,10800,30
distill_consumable_warcallers_elixir_d1,distill,warcallers_elixir,d1,consumable_warcallers_elixir,3,,,,,0,7200,30
distill_consumable_warcallers_elixir_d2,distill,warcallers_elixir,d2,consumable_warcallers_elixir_d1,3,,,,,0,14400,30
