crest_id,crest_title,backstory,prompt_build
crest_10,Ash Thorn Company,"Ash Thorn Company came out of hedge-country levies who fought best from ditches, thorn lines, and narrow cart roads. Their mark had to be cheap to paint and hard to forget. They chose the thorn branch because it matched the ground they defended better than any grand beast. The crest keeps the branch singular and severe over a dark board face.","guild crest emblem; base silhouette: square oak board silhouette; dominant symbol: thorn branch in pale steel relief with a few hard barbs and no flowers; base material: oak board with black-painted field, muted ash-grey border stripe, raw wood exposed at chipped corners; symbol material: pale steel with soft dull highlights; palette: matte black, ash grey, weathered brown wood, pale steel, soot-dark nail heads; craftsmanship: levy heraldry with one stark natural symbol and rough carpentry discipline; wear: chipped paint at edges, shallow cracks through the wood grain, rubbed thorn tips, dark grime around nails; no text, no scene, no hands, no banner pole, no shield bearer."
crest_11,Bellroot Covenant,"Bellroot Covenant tends herb plots and burial gardens where quiet work matters more than reputation. Their sign is painted on shed doors, drying racks, and medicine chests rather than on parade cloth. The bellflower was kept because it marks the trade plainly and does not need decoration to read. The crest sets the flower alone on a hard plate and lets the materials do the rest.","guild crest emblem; base silhouette: hexagon bronze plate silhouette; dominant symbol: single hanging bellflower in pale iron relief with a short visible root tail; base material: aged bronze plate with muted violet-grey enamel field, dark brown edge band, small black fastening studs; symbol material: pale iron with cool highlights on the petals and stem; palette: muted violet-grey, aged bronze, dark brown, pale iron, soot black hardware; craftsmanship: apothecary heraldry with one centered natural symbol and restrained platework; wear: rubbed petal edges, tiny enamel chips near the lower field, shallow scratches in the bronze, slight dark staining around studs; no text, no scene, no hands, no banner pole, no shield bearer."
crest_12,Grey Shield Company,"Grey Shield Company keeps its badge as plain as the men who carry it. Their captains believe a repairable shield tells the truth about soldiery better than any beast or slogan. The design is used on spare shields, barrack boards, and ration lids without alteration. The crest therefore centers the shield itself and lets wear carry the meaning.","guild crest emblem; base silhouette: heater shield silhouette; dominant symbol: plain raised iron boss centered on the shield face, treated as the core military emblem; base material: oak shield body painted in layered grey tones with a thin off-white edge line, black iron rim strap, exposed wood at chipped corners; symbol material: dark iron boss with dull steel wear marks; palette: smoke grey, off-white, blackened iron, weathered brown wood; craftsmanship: barracks heraldry with one blunt military form and functional shield construction; wear: repeated dents across the face, rubbed paint bands, scratches on the boss, dirt built up under the rim strap; no text, no scene, no hands, no banner pole, no shield bearer."
crest_13,Pikewake Brotherhood,"Pikewake Brotherhood traces its name to dawn assemblies where pike blocks formed before mist had fully lifted from the field. The brotherhood takes pride in drill, spacing, and the steady discipline required to make long weapons matter. Their sergeants say that three good pikes held level are worth more than one hero with a bright blade. The crest keeps that lesson in a severe cluster of spearheads bound for the line rather than for show.","guild crest emblem; central emblem: three upright pikeheads aligned in a tight vertical cluster with the center head slightly taller; supporting motif: a simple binding strap wrapped low beneath the blades; material: smoked iron rim, cold steel pikeheads, deep charcoal enamel field, dark leather binding; palette: cold steel, blackened iron, charcoal grey, restrained ash-white edge accents; craftsmanship: formation heraldry with rigid spacing and strict vertical order; wear: light edge nicks on the pikeheads, scuffed strap surface, shallow scratches in the field, tiny enamel chips near the lower binding; sigilwork: none, only controlled reflective edges and no glow; no text, no scene, no hands, no banner pole, no shield bearer."
crest_14,Iron Stag Watch,"Iron Stag Watch was formed from road patrols and outer watch posts that spent more time reading tracks than hearing commands. The stag was chosen not for nobility but for its habit of stopping, listening, and bolting only when the ground has already warned it. Their scouts prefer badges that read clearly in rain, mud, and low light. The crest keeps the animal plain and alert, as if it has just lifted its head at the edge of the treeline.","guild crest emblem; central emblem: stern stag head in simple profile with compact antlers and a firm neck line; supporting motif: none, keep the animal silhouette isolated and dominant; material: blackened steel border, muted iron antler edging, dark forest-grey enamel field, dull silver facial planes; palette: iron grey, soot black, muted bone antler highlights, cold slate accents; craftsmanship: patrol heraldry with clean animal silhouette and restrained contour work; wear: rubbed antler tips, shallow scratches across the cheek plane, minor enamel chips along the lower neck edge, softened rim scuffs; sigilwork: a barely visible cold line trapped inside one antler groove only, no spill; no text, no scene, no hands, no banner pole, no shield bearer."
crest_15,Red Sabre House,"Red Sabre House uses a badge meant to be recognized fast by clients and feared quickly by everyone else. Their guards wanted no second symbol around it to soften the message. The blade itself carries the house reputation, from escort duty to arrests handled in close streets. The crest leaves the sabre alone on a painted shield face and lets the red ground do the rest.","guild crest emblem; base silhouette: heater shield silhouette; dominant symbol: single curved sabre in dark steel laid on a slight diagonal across the center; base material: wooden shield face with deep red painted field, narrow black border band, simple iron rivets along the rim, exposed wood at worn edges; symbol material: dark steel with restrained pale edge highlights, black leather grip wrap; palette: deep red, soot black, cold steel, weathered brown wood; craftsmanship: hired-guard heraldry with one direct military symbol and practical shield build; wear: paint rubbed thin at the lower right, shallow cuts in the wood, sharpening scratches along the sabre, small dents near the rim; no text, no scene, no hands, no banner pole, no shield bearer."
crest_16,Black Boar Line,"Black Boar Line earned its name from assaults that hit fast, low, and ugly against ground most formations would rather avoid. The company favors hard compact symbols over decorative heraldry, because their captains believe a badge should look like the work it represents. Boar heads are painted on field boards, ration carts, and reserve shields with the same blunt silhouette. The crest keeps that shape broad and heavy, like something built to push through mud and impact alike.","guild crest emblem; central emblem: compact boar head facing forward with heavy brow, blunt snout, and short tusk curve; supporting motif: none, animal head only with a dense centered silhouette; material: blackened steel border, dark iron facial planes, muted mud-brown enamel underfield, pale tusk-white edge accents; palette: iron black, dirty umber, dull ivory tusks, cold grey highlights; craftsmanship: assault-company heraldry with thick readable mass and minimal internal flourish; wear: rubbed tusk tips, shallow scoring across the brow, rim dents, small enamel chips near the lower jaw edge; sigilwork: none, no glow, no decorative channels; no text, no scene, no hands, no banner pole, no shield bearer."
crest_17,Gate Ward,"Gate Ward belongs to men assigned to doors, ramps, and lock stations where patience matters as much as strength. Their badge is meant to look like part of a gate mechanism rather than a decorative crest. That choice suits troops who spend more time near hinges and braces than out in open field. The crest keeps the mark square and architectural, with a single shield face treated as the military sign.","guild crest emblem; base silhouette: square steel plate silhouette; dominant symbol: square shield face in raised dark iron relief with a narrow vertical slit cut through it; base material: forged steel plate with muted slate field, black border band, small iron fastening studs at the corners; symbol material: dark iron with cold grey edge wear; palette: slate grey, blackened iron, cold steel, restrained pale abrasion marks; craftsmanship: gatehouse heraldry with one hard military form and strict planar geometry; wear: dents near the upper corners, rubbed slit edges, shallow scratches across the plate, small chips in the slate finish; no text, no scene, no hands, no banner pole, no shield bearer."
crest_18,Wolf Pennon Company,"Wolf Pennon Company grew from fast scouts and pursuit fighters who worked the flanks of heavier formations without ever quite belonging to them. Their mark favors the head alone, because the company wanted a sign that suggested attention, hunger, and motion without turning theatrical. Quartermasters stitched the wolf badge on pack covers and cloak tabs long before any formal charter was granted. The crest keeps the profile lean and watchful, like an animal seen just before it disappears into scrub or dusk.","guild crest emblem; central emblem: wolf head in profile with a narrow muzzle, alert ear, and low-set eye line; supporting motif: a simple roundel field directly behind the head to reinforce the silhouette; material: dark iron border, weathered steel facial edging, muted blue-grey enamel roundel, black enamel field; palette: cold grey, dusk blue, soot black, restrained bone-white fang edge; craftsmanship: scout-company heraldry with lean animal lines and compact readable layering; wear: rubbed muzzle edge, light scratches across the roundel, softened ear tip, minor enamel chips near the lower jaw; sigilwork: one very faint pale line contained inside the eye groove only, no spill; no text, no scene, no hands, no banner pole, no shield bearer."
crest_19,Macehold Brotherhood,"Macehold Brotherhood traces its origin to barrack guards and gate troops expected to fight at arm's length where swings were short and armor mattered. They chose the mace because it speaks plainly about the kind of work done in cramped spaces with little room for flourish. The brotherhood keeps its badge severe and mechanical, with no animal or noble pretense around it. The crest presents the weapon head as a blunt fact, not an ornament.","guild crest emblem; central emblem: single flanged mace head with a short visible haft base directly beneath it; supporting motif: none, keep the weapon head centered and dominant; material: blackened steel border, dark iron flanges, muted grey enamel field, worn oak haft collar; palette: cold steel, charcoal grey, soot black, restrained pale edge highlights; craftsmanship: close-guard heraldry with compact mass and exact radial balance in the flanges; wear: impact bruising on the flange corners, shallow scratches across the head, rubbed haft collar, small enamel losses near the lower centerline; sigilwork: none, no glow, no decorative magic; no text, no scene, no hands, no banner pole, no shield bearer."
crest_20,White Ram Bastion,"White Ram Bastion is a heavy gate-defense company whose men are expected to stand where a breach starts and keep standing after everyone else begins to fold. The ram was chosen for stubborn impact rather than courtly virtue, and the white comes from lime wash rubbed into the relief before every major muster. Their crest is built around the idea of force contained by discipline, not force let loose. The broad shield rim remains visible around the head to show that endurance matters as much as the charge.","guild crest emblem; central emblem: ram head facing forward with thick curled horn bases and a compact blunt muzzle; supporting motif: broad shield rim framing the head closely without extra ornaments; material: dark iron shield border, pale bone-white horn plates, smoke-grey steel facial planes, muted black enamel field; palette: bone white, cold steel, charcoal black, restrained ash-grey rim wear; craftsmanship: gate-defense heraldry with dense centered mass and disciplined symmetry; wear: horn tip scuffs, shallow dents across the rim, scratches on the muzzle plate, tiny enamel chips near the lower horn curve; sigilwork: a very faint pale line held inside one horn groove only, no spill; no text, no scene, no hands, no banner pole, no shield bearer."
