"ilvl","rarity","average_attack_roll","defense_target_total","necklace","ring"
"34","rare","424.5","106","53","53"
"34","epic","473.5","118","59","59"
"35","common","357","89","45","44"
"35","uncommon","393","98","49","49"
"35","rare","435.5","109","55","54"
"35","epic","486","122","61","61"
"36","common","366","92","46","46"
"36","uncommon","403","101","51","50"
"36","rare","447","112","56","56"
"36","epic","498","125","63","62"
"37","common","375.5","94","47","47"
"37","uncommon","413","103","52","51"
"37","rare","458","115","58","57"
"37","epic","510.5","128","64","64"
"38","common","384.5","96","48","48"
"38","uncommon","423","106","53","53"
"38","rare","469.5","117","59","58"
"38","epic","523","131","66","65"
"39","common","394","99","50","49"
"39","uncommon","433","108","54","54"
"39","rare","480.5","120","60","60"
"39","epic","535.5","134","67","67"
"40","common","403","101","51","50"
"40","uncommon","443.5","111","56","55"
"40","rare","492","123","62","61"
"40","epic","548","137","69","68"
"41","common","412.5","103","52","51"
"41","uncommon","453.5","113","57","56"
"41","rare","503","126","63","63"
"41","epic","560.5","140","70","70"
"42","common","421","105","53","52"
"42","uncommon","463.5","116","58","58"
"42","rare","513.5","128","64","64"
"42","epic","573","143","72","71"
"43","common","430.5","108","54","54"
"43","uncommon","473.5","118","59","59"
"43","rare","525","131","66","65"
"43","epic","585.5","146","73","73"
"44","common","439.5","110","55","55"
"44","uncommon","483.5","121","61","60"
"44","rare","536","134","67","67"
"44","epic","598","150","75","75"
"45","common","448.5","112","56","56"
"45","uncommon","493.5","123","62","61"
"45","rare","547.5","137","69","68"
"45","epic","610","153","77","76"
"46","common","458","115","58","57"
"46","uncommon","503.5","126","63","63"
"46","rare","558.5","140","70","70"
"46","epic","622.5","156","78","78"
"47","common","467","117","59","58"
"47","uncommon","513.5","128","64","64"
"47","rare","570","143","72","71"
"47","epic","635","159","80","79"
"48","common","476.5","119","60","59"
"48","uncommon","523.5","131","66","65"
"48","rare","581","145","73","72"
"48","epic","648","162","81","81"
"49","common","485","121","61","60"
"49","uncommon","534","134","67","67"
"49","rare","592.5","148","74","74"
"49","epic","660.5","165","83","82"
"50","common","494.5","124","62","62"
"50","uncommon","544","136","68","68"
"50","rare","603","151","76","75"
"50","epic","672.5","168","84","84"
"51","common","503.5","126","63","63"
"51","uncommon","554","139","70","69"
"51","rare","614.5","154","77","77"
"51","epic","685","171","86","85"
"52","common","513","128","64","64"
"52","uncommon","564","141","71","70"
"52","rare","625.5","156","78","78"
"52","epic","697.5","174","87","87"
"53","common","522","131","66","65"
"53","uncommon","574.5","144","72","72"
"53","rare","637","159","80","79"
"53","epic","710","178","89","89"
"54","common","531.5","133","67","66"
"54","uncommon","584.5","146","73","73"
"54","rare","648","162","81","81"
"54","epic","722","181","91","90"
"55","common","540.5","135","68","67"
"55","uncommon","594.5","149","75","74"
"55","rare","659.5","165","83","82"
"55","epic","735","184","92","92"
"56","common","550","138","69","69"
"56","uncommon","604.5","151","76","75"
"56","rare","670.5","168","84","84"
"56","epic","747.5","187","94","93"
"57","common","558.5","140","70","70"
"57","uncommon","614.5","154","77","77"
"57","rare","682","171","86","85"
"57","epic","760","190","95","95"
"58","common","567.5","142","71","71"
"58","uncommon","624.5","156","78","78"
"58","rare","693","173","87","86"
"58","epic","772.5","193","97","96"
"59","common","577","144","72","72"
"59","uncommon","635","159","80","79"
"59","rare","703.5","176","88","88"
"59","epic","784.5","196","98","98"
"60","common","586","147","74","73"
"60","uncommon","645","161","81","80"
"60","rare","715","179","90","89"
"60","epic","797","199","100","99"
"61","common","595.5","149","75","74"
"61","uncommon","655","164","82","82"
"61","rare","726","182","91","91"
"61","epic","809.5","202","101","101"
"62","common","604.5","151","76","75"
"62","uncommon","665","166","83","83"
"62","rare","737.5","184","92","92"
"62","epic","822","206","103","103"
"63","common","614","154","77","77"
"63","uncommon","675","169","85","84"
"63","rare","748.5","187","94","93"
"63","epic","834.5","209","105","104"
"64","common","622.5","156","78","78"
"64","uncommon","685","171","86","85"
"64","rare","760","190","95","95"
"64","epic","847","212","106","106"
"65","common","632","158","79","79"
"65","uncommon","695","174","87","87"
"65","rare","771","193","97","96"
"65","epic","859.5","215","108","107"
"66","common","641","160","80","80"
"66","uncommon","705","176","88","88"
"66","rare","782.5","196","98","98"
"66","epic","872","218","109","109"
"67","common","650.5","163","82","81"
"67","uncommon","715","179","90","89"
"67","rare","793","198","99","99"
"67","epic","884.5","221","111","110"
"68","common","659.5","165","83","82"
"68","uncommon","725.5","181","91","90"
"68","rare","804.5","201","101","100"
"68","epic","896.5","224","112","112"
"69","common","668.5","167","84","83"
"69","uncommon","735.5","184","92","92"
"69","rare","815.5","204","102","102"
"69","epic","909","227","114","113"
"70","common","678","170","85","85"
"70","uncommon","745.5","186","93","93"
"70","rare","827","207","104","103"
"70","epic","921.5","230","115","115"
"71","common","686.5","172","86","86"
"71","uncommon","755.5","189","95","94"
"71","rare","838","210","105","105"
"71","epic","934.5","234","117","117"
"72","common","696","174","87","87"
"72","uncommon","765.5","191","96","95"
"72","rare","849.5","212","106","106"
"72","epic","947","237","119","118"
"73","common","705","176","88","88"
"73","uncommon","775.5","194","97","97"
"73","rare","860.5","215","108","107"
"73","epic","959","240","120","120"
"74","common","714.5","179","90","89"
"74","uncommon","785.5","196","98","98"
"74","rare","871.5","218","109","109"
"74","epic","971.5","243","122","121"
"75","common","723.5","181","91","90"
"75","uncommon","795.5","199","100","99"
"75","rare","882.5","221","111","110"
"75","epic","984","246","123","123"
"76","common","733","183","92","91"
"76","uncommon","806","202","101","101"
"76","rare","893.5","223","112","111"
"76","epic","996.5","249","125","124"
"77","common","742","186","93","93"
"77","uncommon","816","204","102","102"
"77","rare","905","226","113","113"
"77","epic","1008.5","252","126","126"
"78","common","751","188","94","94"
"78","uncommon","826.5","207","104","103"
"78","rare","916","229","115","114"
"78","epic","1021","255","128","127"
"79","common","760","190","95","95"
"79","uncommon","836.5","209","105","104"
"79","rare","927.5","232","116","116"
"79","epic","1034","259","130","129"
"80","common","769.5","192","96","96"
"80","uncommon","846.5","212","106","106"
"80","rare","938.5","235","118","117"
"80","epic","1046.5","262","131","131"
"81","common","778.5","195","98","97"
"81","uncommon","856.5","214","107","107"
"81","rare","950","238","119","119"
"81","epic","1059","265","133","132"
"82","common","787.5","197","99","98"
"82","uncommon","866.5","217","109","108"
"82","rare","961","240","120","120"
"82","epic","1071","268","134","134"
"83","common","797","199","100","99"
"83","uncommon","876.5","219","110","109"
"83","rare","972","243","122","121"
"83","epic","1083.5","271","136","135"
"84","common","806","202","101","101"
"84","uncommon","886.5","222","111","111"
"84","rare","983","246","123","123"
"84","epic","1096","274","137","137"
"85","common","815","204","102","102"
"85","uncommon","896.5","224","112","112"
"85","rare","994.5","249","125","124"
"85","epic","1108.5","277","139","138"
"86","common","824","206","103","103"
"86","uncommon","906.5","227","114","113"
"86","rare","1005.5","251","126","125"
"86","epic","1121","280","140","140"
"87","common","833.5","208","104","104"
"87","uncommon","916.5","229","115","114"
"87","rare","1017","254","127","127"
"87","epic","1133.5","283","142","141"
"88","common","842.5","211","106","105"
"88","uncommon","927","232","116","116"
"88","rare","1028","257","129","128"
"88","epic","1146","287","144","143"
"89","common","852","213","107","106"
"89","uncommon","937","234","117","117"
"89","rare","1039","260","130","130"
"89","epic","1158.5","290","145","145"
"90","common","861","215","108","107"
"90","uncommon","947","237","119","118"
"90","rare","1050.5","263","132","131"
"90","epic","1171","293","147","146"
"91","common","870.5","218","109","109"
"91","uncommon","957","239","120","119"
"91","rare","1061.5","265","133","132"
"91","epic","1183","296","148","148"
"92","common","879","220","110","110"
"92","uncommon","967","242","121","121"
"92","rare","1072.5","268","134","134"
"92","epic","1195.5","299","150","149"
"93","common","888","222","111","111"
"93","uncommon","977","244","122","122"
"93","rare","1083.5","271","136","135"
"93","epic","1208","302","151","151"
"94","common","897.5","224","112","112"
"94","uncommon","987","247","124","123"
"94","rare","1095","274","137","137"
"94","epic","1220.5","305","153","152"
"95","common","906.5","227","114","113"
"95","uncommon","997","249","125","124"
"95","rare","1106","277","139","138"
"95","epic","1233.5","308","154","154"
"96","common","916","229","115","114"
"96","uncommon","1007","252","126","126"
"96","rare","1117.5","279","140","139"
"96","epic","1245.5","311","156","155"
"97","common","925","231","116","115"
"97","uncommon","1017.5","254","127","127"
"97","rare","1128.5","282","141","141"
"97","epic","1258","315","158","157"
"98","common","934.5","234","117","117"
"98","uncommon","1028","257","129","128"
"98","rare","1140","285","143","142"
"98","epic","1270.5","318","159","159"
"99","common","943","236","118","118"
"99","uncommon","1038","260","130","130"
"99","rare","1151","288","144","144"
"99","epic","1283","321","161","160"
"100","common","952.5","238","119","119"
"100","uncommon","1048","262","131","131"
"100","rare","1162","291","146","145"
"100","epic","1295","324","162","162"
