sequence,weapon_name,weapon_type,weapon_family,allowed_class,damage_category,flavor_text,base_level,drop_min_level,drop_max_level_raw,drop_max_level_capped,prompt_item_description
11,Damascus Steel,Sword,melee,warrior,strength,Layered metal whispering of patient and practiced kills.,40,30,50,50,"one-handed sword — straight double-edged blade, functional crossguard. Material: sturdy steel; craftsmanship: cleaner forge work, practical balance; details: minimal engraving or maker's stamp, subtle wear and use marks; magic: mundane, no glow."
12,Valenmark,Axe,melee,warrior,strength,A grim standard among wardens of besieged keeps.,44,34,54,54,"one-handed axe — broad axe head with reinforced eye, sturdy haft. Material: hardened high-carbon steel; craftsmanship: refined profile with reinforced fittings; details: subtle etched lines and riveted leather wrap, subtle wear and use marks; magic: a single small rune inlay, barely luminous."
13,Knight's Arming Sword,Sword,melee,warrior,strength,Balanced for tourneys yet hardened by real sieges.,48,38,58,58,"one-handed sword — straight double-edged blade, functional crossguard. Material: hardened high-carbon steel; craftsmanship: refined profile with reinforced fittings; details: subtle etched lines and riveted leather wrap, darkened steel patina; magic: a single small rune inlay, barely luminous."
14,Durnholde Axe,Axe,melee,warrior,strength,Each notch in its head marks a broken line of men.,52,42,62,62,"one-handed axe — broad axe head with reinforced eye, sturdy haft. Material: hardened high-carbon steel; craftsmanship: refined profile with reinforced fittings; details: subtle etched lines and riveted leather wrap, subtle wear and use marks; magic: a single small rune inlay, barely luminous."
15,Rivenspire Greatsword,Sword,melee,warrior,strength,Heavy steel sworn to mountain oaths and old banners.,56,46,66,66,"massive two-handed sword — straight double-edged blade, functional crossguard. Material: hardened high-carbon steel; craftsmanship: refined profile with reinforced fittings; details: subtle etched lines and riveted leather wrap, subtle wear and use marks; magic: a single small rune inlay, barely luminous."
16,Blackmoor Cleaver,Axe,melee,warrior,strength,Smoked black by peat fires and night executions.,60,50,70,70,"one-handed axe — broad axe head with reinforced eye, sturdy haft. Material: hardened high-carbon steel; craftsmanship: refined profile with reinforced fittings; details: subtle etched lines and riveted leather wrap, darkened steel patina; magic: a single small rune inlay, barely luminous."
17,Gilded Bastard Sword,Sword,melee,warrior,strength,Noble trim over a core built for ruthless work.,64,54,74,74,"one-handed sword — straight double-edged blade, functional crossguard. Material: masterworked layered steel; craftsmanship: precise edges, excellent balance, fitted guard and pommel; details: engraved motifs with restrained silver accents, subtle wear and use marks; magic: runes threaded through the metal with faint steady glow."
18,Harthorn,Axe,melee,warrior,strength,Its crescent edge howls through plate at full swing.,68,58,78,78,"one-handed axe — broad axe head with reinforced eye, sturdy haft. Material: masterworked layered steel; craftsmanship: precise edges, excellent balance, fitted guard and pommel; details: engraved motifs with restrained silver accents, thorn-like guard shape; magic: runes threaded through the metal with faint steady glow."
19,Highguard Claymore,Sword,melee,warrior,strength,A watchtower relic that cleaves as if judgment were law.,72,62,82,82,"one-handed sword — straight double-edged blade, functional crossguard. Material: masterworked layered steel; craftsmanship: precise edges, excellent balance, fitted guard and pommel; details: engraved motifs with restrained silver accents, subtle wear and use marks; magic: runes threaded through the metal with faint steady glow."
20,Stormvale Axe,Axe,melee,warrior,strength,Storm-battered steel that lands like a falling gate.,76,66,86,86,"one-handed axe — broad axe head with reinforced eye, sturdy haft. Material: masterworked layered steel; craftsmanship: precise edges, excellent balance, fitted guard and pommel; details: engraved motifs with restrained silver accents, subtle wear and use marks; magic: runes threaded through the metal with faint steady glow."
21,Silvermark Longblade,Sword,melee,warrior,strength,Etched silver lines glow when battle turns against you.,80,70,90,90,"one-and-a-half hand sword — straight double-edged blade, functional crossguard. Material: masterworked layered steel; craftsmanship: precise edges, excellent balance, fitted guard and pommel; details: engraved motifs with restrained silver accents, silver-toned accent metal; magic: runes threaded through the metal with faint steady glow."
22,Dornhal Greataxe,Axe,melee,warrior,strength,An executioner's weight that silences armored prayer.,84,74,94,94,"massive two-handed axe — broad axe head with reinforced eye, sturdy haft. Material: imperial-grade alloy with rare inlays; craftsmanship: near-flawless craftsmanship, ceremonial precision but combat-ready; details: clean ornate detailing, gilded or silver filigree kept restrained, subtle wear and use marks; magic: embedded arcane veins and a small crystal focus, subtle particles close to the blade."
23,Crestfall Greatsword,Sword,melee,warrior,strength,Named for kingdoms that vanished under its measure.,88,78,98,98,"massive two-handed sword — straight double-edged blade, functional crossguard. Material: imperial-grade alloy with rare inlays; craftsmanship: near-flawless craftsmanship, ceremonial precision but combat-ready; details: clean ornate detailing, gilded or silver filigree kept restrained, subtle wear and use marks; magic: embedded arcane veins and a small crystal focus, subtle particles close to the blade."
24,Kingsreach Axe,Axe,melee,warrior,strength,A throne-breaker carried by oathless champions.,92,82,102,100,"one-handed axe — broad axe head with reinforced eye, sturdy haft. Material: imperial-grade alloy with rare inlays; craftsmanship: near-flawless craftsmanship, ceremonial precision but combat-ready; details: clean ornate detailing, gilded or silver filigree kept restrained, formal crest mark on the guard; magic: embedded arcane veins and a small crystal focus, subtle particles close to the blade."
25,Imperial Warblade,Sword,melee,warrior,strength,An empire's final argument bound in star-dark steel.,96,86,106,100,"one-and-a-half hand sword — straight double-edged blade, functional crossguard. Material: imperial-grade alloy with rare inlays; craftsmanship: near-flawless craftsmanship, ceremonial precision but combat-ready; details: clean ornate detailing, gilded or silver filigree kept restrained, formal crest mark on the guard; magic: embedded arcane veins and a small crystal focus, subtle particles close to the blade."
