sequence,item_name,item_type,major_category,archetype,slot_family,allowed_class,flavor_text,base_level,drop_min_level,drop_max_level_raw,drop_max_level_capped,prompt_item_description
17,Sigiled Hood,Helmet,armor,robe,helmet,mage,"Stitching holds the brow line true, panic looks less convincing.",64,54,74,74,"shaped hood, precise stitch lines, clean hem, faint runes inside seams, thin contained glow, isolated item."
18,Nocturne Veil,Helmet,armor,robe,helmet,mage,"Dark folds soften lamplight at the face, the work outlasts the night.",68,58,78,78,"late veil, deep dye cloth, soft folds, restrained trim, isolated item, no magic."
19,Eclipse Mask,Helmet,armor,robe,helmet,mage,"A mask turns the face into absence, hands become the only statement.",72,62,82,82,"eclipse mask, dark face mask, matte finish, minimal ornament, isolated item, no glow."
20,Cathedral Cowl,Helmet,armor,robe,helmet,mage,"Cut for halls where whispers matter, the voice stays measured.",76,66,86,86,"cathedral cowl, heavy drape cloth, ornate hemwork, faint luminous trace in embroidery, isolated item."
21,Stormsigil Circlet,Helmet,armor,robe,helmet,mage,"Bright metal catches candlelight without mercy, endure being seen.",80,70,90,90,"storm circlet, polished metal, engraved channels, blue white glow lines contained, isolated item."
22,Blackstar Hood,Helmet,armor,robe,helmet,mage,"Severe cloth frames the eyes, judgment looks calm.",84,74,94,94,"black hood, sharp cut hood, dark fabric, thin glowing seam line, contained, isolated item."
23,Paragon Veil,Helmet,armor,robe,helmet,mage,"Every fold held to discipline makes teachers pause, the pause is the point.",88,78,98,98,"paragon veil, immaculate cloth layers, silver inlay thread, steady glow seams, isolated item."
24,Firstlight Crown,Helmet,armor,robe,helmet,mage,"First light meets a band that will not sag, the day does not get to unmake you.",92,82,102,100,"firstlight crown, refined crown band, gold trim, radiant sigils contained, isolated item."
25,Sovereign Cowl,Helmet,armor,robe,helmet,mage,A drape that refuses to slip through long vigils makes resolve visible.,96,86,106,100,"sovereign cowl, heroic drape silhouette, ornate trim, bright runes in thin lines, contained radiance, isolated item."
26,Plain Wrap,Upper Armor,armor,robe,upper_armor,mage,"Plain cloth layers carry old ink smell, drafts lose their bite before the long hours begin.",0,0,10,10,"plain wrap garment, simple cloth layers, ink stains, frayed hem, isolated item, no glow."
27,Faded Raiment,Upper Armor,armor,robe,upper_armor,mage,"Faded fabric hangs loose and patient, it keeps questions off the ribs until the lesson is learned.",4,0,14,14,"faded raiment, worn cloth robe, patched seams, dull dye, isolated item, no magic."
28,Rough Cloth,Upper Armor,armor,robe,upper_armor,mage,"Coarse weave scratches the collar raw, the wearer stops fidgeting out of spite.",8,0,18,18,"rough cloth robe, coarse weave, scratchy collar, stained fabric, isolated item, no glow."
29,Thin Robe,Upper Armor,armor,robe,upper_armor,mage,"Light robe offers little to blades, it offers enough to keep shame from showing in public.",12,2,22,22,"thin robe, light fabric, minimal layers, frayed edges, isolated item, no magic."
30,Old Mantle,Upper Armor,armor,robe,upper_armor,mage,"Smoke soaked mantle drags at the shoulders, the hem stays mended because quitting costs more.",16,6,26,26,"old mantle, heavy cloth drape, mended hem, smoke stains, isolated item, no glow."
31,Keen Mantle,Upper Armor,armor,robe,upper_armor,mage,"Clean cut at the shoulder keeps sleeves out of flame, hands stay free for work.",20,10,30,30,"keen mantle, cleaner cut shoulders, smooth drape, controlled wear, isolated item, no magic."
32,Runed Cloth,Upper Armor,armor,robe,upper_armor,mage,"Strict seam lines lie flat to the chest, discipline looks easier when it is worn.",24,14,34,34,"stitched cloth vestment, strict seam lines, flat drape, reinforced cuffs, isolated item, no glow."
33,Warded Raiment,Upper Armor,armor,robe,upper_armor,mage,"Tighter weave and better ties refuse to gape when you fall, dignity survives the stumble.",28,18,38,38,"tighter weave raiment, better ties, sturdy collar, restrained trim, isolated item, no magic."
34,Bound Robe,Upper Armor,armor,robe,upper_armor,mage,"Corded waist draws the fabric close, loose cloth finds fewer candles to kiss.",32,22,42,42,"bound robe, corded waist tie, close fit sleeves, worn cuffs, isolated item, no glow."
35,Steady Vestment,Upper Armor,armor,robe,upper_armor,mage,"Balanced layers sit without twisting, long copying hurts less when nothing fights you.",36,26,46,46,"steady vestment, balanced layers, neat hemwork, disciplined silhouette, isolated item, no magic."
36,Scribed Mantle,Upper Armor,armor,robe,upper_armor,mage,"Ink stains at the cuff warn of habits, warm hands keep writing anyway.",40,30,50,50,"ink stained mantle, cuff stains, layered cloth, subtle texture, isolated item, no glow."
37,Oracle Weave,Upper Armor,armor,robe,upper_armor,mage,A deliberate pattern woven into the front makes certainty contagious in a tired room.,44,34,54,54,"patterned weave robe, deliberate motif, clean seams, sturdy drape, isolated item, no magic."
38,Night Mantle,Upper Armor,armor,robe,upper_armor,mage,"Dark cloth eats lamplight and chalk dust, vanity stays hungry.",48,38,58,58,"night mantle, dark cloth layers, low reflection finish, chalk dust hints, isolated item, no glow."
39,Ashen Raiment,Upper Armor,armor,robe,upper_armor,mage,"Ash colored layers shed sparks and stray embers, shivering waits its turn.",52,42,62,62,"ashen raiment, gray cloth layers, wax stains, faint runic etch in trim, thin contained glow seam, isolated item."
40,Sigiled Robe,Upper Armor,armor,robe,upper_armor,mage,"Raised seams hold shape at the hem, steps look deliberate.",56,46,66,66,"shaped robe, raised stitching on hem, clean drape, faint luminous trace in seam, isolated item."
41,Aether Vestment,Upper Armor,armor,robe,upper_armor,mage,"A lighter cut keeps gestures clean, work continues.",60,50,70,70,"light vestment, flexible cloth, reinforced seams, subtle runes inside lining, thin contained glow, isolated item."
42,Star Weave,Upper Armor,armor,robe,upper_armor,mage,"Fine weave with a hint of ceremony makes endurance feel chosen, choose it.",64,54,74,74,"star weave garment, fine cloth, bright thread accents, clean silhouette, isolated item, no magic."
43,Cathedral Mantle,Upper Armor,armor,robe,upper_armor,mage,"Chapel weight settles on the shoulders, the back straightens.",68,58,78,78,"cathedral mantle, heavy drape cloth, ornate hemwork, faint luminous trace in embroidery, isolated item."
44,Stormsigil Vestment,Upper Armor,armor,robe,upper_armor,mage,"Reinforced edges ride through wind and crowds, the voice cracks less.",72,62,82,82,"wind proof vestment, reinforced shoulders, rugged ties, subtle contained glow stitch line, isolated item."
45,Blackstar Robe,Upper Armor,armor,robe,upper_armor,mage,"Severe cut frames the hands, motions look final even when tired.",76,66,86,86,"black robe, severe cut, dark fabric, thin glowing seam line, contained, isolated item."
46,Dread Raiment,Upper Armor,armor,robe,upper_armor,mage,"It carries weight like bad news and still moves well, that is courage left to us.",80,70,90,90,"dread raiment, layered dark cloth, heavy drape, runic lattice faintly glowing, isolated item."
47,Highrite Weave,Upper Armor,armor,robe,upper_armor,mage,"Ceremonial cloth kept clean makes endurance feel permitted, not merely necessary.",84,74,94,94,"ceremonial weave, clean bright cloth, silver inlay thread, steady glow seams, isolated item."
48,Sovereign Raiment,Upper Armor,armor,robe,upper_armor,mage,"Perfect drape and quiet strength make doubt look small, students notice.",88,78,98,98,"sovereign raiment, heroic garment silhouette, gold trim, bright runes in thin lines, contained radiance, isolated item."
49,Ascendant Regalia,Upper Armor,armor,robe,upper_armor,mage,"Regalia that refuses to flutter keeps fear contained, the body follows.",92,82,102,100,"ascendant regalia, ornate textile, radiant sigils contained, isolated item."
50,Eternal Mantle,Upper Armor,armor,robe,upper_armor,mage,"Cloth that will not fray keeps the cold off and the spirit on, the rest is work.",96,86,106,100,"eternal mantle, immaculate cloth layers, bright runes and sigils, contained radiance, isolated item."
51,Rough Wrap,Pauldrons,armor,robe,pauldrons,mage,"Coarse wrap over the shoulder slides without a tight knot, the lesson is immediate.",0,0,10,10,"rough wrap, coarse shoulder cloth, frayed ends, simple tie cords, isolated item, no glow."
52,Thin Shoulderwrap,Pauldrons,armor,robe,pauldrons,mage,"Thin wrap across the collar line keeps straps from biting deep, small mercies matter.",4,0,14,14,"thin shoulderwrap, light cloth wrap, minimal padding, worn edges, isolated item, no magic."
53,Old Shoulders,Pauldrons,armor,robe,pauldrons,mage,"Worn drape holds dust in the folds, joints stay warmer than they deserve.",8,0,18,18,"old shoulders, worn drape cloth, dusty staining, loose tie, isolated item, no glow."
54,Patchwork Drape,Pauldrons,armor,robe,pauldrons,mage,"Scraps stitched into a shoulder cloth hang uneven, the wearer learns to ignore appearances.",12,2,22,22,"patchwork drape, stitched scraps, uneven hem, mismatched clasps, isolated item, no magic."
55,Frayed Mantle,Pauldrons,armor,robe,pauldrons,mage,"Loose threads at the edge invite neglect, neglected things last longer in these halls.",16,6,26,26,"frayed mantle, torn edge cloth, loose threads, soot stains, isolated item, no glow."
56,Warded Drape,Pauldrons,armor,robe,pauldrons,mage,"Careful knots hold the drape back from the hands, candle flames lose their chances.",20,10,30,30,"tied drape, secure knots, layered cloth, restrained trim, isolated item, no magic."
57,Bound Shoulderwrap,Pauldrons,armor,robe,pauldrons,mage,"Bound cords pull the cloth close, posture sharpens as if scolded.",24,14,34,34,"bound shoulderwrap, corded tie, close fit shoulder line, worn cloth, isolated item, no glow."
58,Steady Wrap,Pauldrons,armor,robe,pauldrons,mage,"Wind tugs and the wrap stays steady, steadiness spreads.",28,18,38,38,"steady wrap, balanced drape, neat hems, disciplined silhouette, isolated item, no magic."
59,Keen Shoulderwrap,Pauldrons,armor,robe,pauldrons,mage,"Clean seams and quiet fall end snagging, quiet work goes on.",32,22,42,42,"keen shoulderwrap, clean seam lines, reinforced edge, controlled wear, isolated item, no glow."
60,Focused Shoulders,Pauldrons,armor,robe,pauldrons,mage,"Pulled back from the neck to leave breath alone, panic has fewer places to hide.",36,26,46,46,"focused drape, pulled back silhouette, clean collar line, isolated item, no magic."
61,Circle Drape,Pauldrons,armor,robe,pauldrons,mage,"A simple ring clasp sits at the collar, rules become wearable.",40,30,50,50,"circle clasp drape, simple ring clasp, layered cloth, chalk dust hints, isolated item, no glow."
62,Ashen Mantle,Pauldrons,armor,robe,pauldrons,mage,"Gray cloth carries candle ash, the smell reminds you what burns and what endures.",44,34,54,54,"ashen mantle, gray cloth, ash dusting, wax stains, isolated item, no magic."
63,Sigiled Arcwrap,Pauldrons,armor,robe,pauldrons,mage,"Raised stitching along the edge keeps its shape, deliberate becomes the look.",48,38,58,58,"arcwrap, raised stitch patterns, clean drape, subtle texture, isolated item, no glow."
64,Aether Shoulderwrap,Pauldrons,armor,robe,pauldrons,mage,"A cleaner clasp keeps the drape back from the hands, hands stay free.",52,42,62,62,"fine weave shoulderwrap, refined clasp, faint runic etch in clasp, thin contained glow seam, isolated item."
65,Star Shoulders,Pauldrons,armor,robe,pauldrons,mage,"A few bright threads catch lamplight, the room feels less dead.",56,46,66,66,"star shoulders, bright thread accents, clean hemwork, isolated item, no magic."
66,Hex Drape,Pauldrons,armor,robe,pauldrons,mage,"A dark fold sharpens the silhouette, conversations shorten.",60,50,70,70,"dark drape, sharp folds, matte cloth, low reflection finish, isolated item, no glow."
67,Ritual Mantle,Pauldrons,armor,robe,pauldrons,mage,"Cloth kept clean smells of wax, dirt feels like confession.",64,54,74,74,"ritual mantle, clean cloth, wax stains, careful folds, isolated item, no magic."
68,Blackstar Drape,Pauldrons,armor,robe,pauldrons,mage,"Dark drape with a sharp fold makes faces harder to read, the work stays easier.",68,58,78,78,"black drape, severe silhouette, dark fabric, faint luminous trace in seam, isolated item."
69,Dread Mantle,Pauldrons,armor,robe,pauldrons,mage,"Heavy cloth hangs like warning, hands stay visible and honest.",72,62,82,82,"heavy mantle, layered dark cloth, runic lattice faintly glowing, isolated item."
70,Highrite Aegis,Pauldrons,armor,robe,pauldrons,mage,"Structured backing under cloth keeps the frame proud, pride keeps the voice steady.",76,66,86,86,"structured aegis shoulder piece, cloth over stiff backing, silver inlay channels, steady glow seams, isolated item."
71,Astral Shoulderwrap,Pauldrons,armor,robe,pauldrons,mage,"Cut with care to avoid fluttering, pages turn quieter.",80,70,90,90,"refined shoulderwrap, clean geometry, careful clasp, faint luminous trace, isolated item."
72,Nocturne Arcwrap,Pauldrons,armor,robe,pauldrons,mage,"Late hour drape tames lamp glare, eyes last longer on the page.",84,74,94,94,"nocturne arcwrap, dark cloth drape, thin glowing seam inside fold, contained, isolated item."
73,Eternal Aegis,Pauldrons,armor,robe,pauldrons,mage,"Clasp holds through long vigils without slipping, bodies feel reliable again.",88,78,98,98,"eternal aegis, immaculate construction, bright runes in thin lines, contained radiance, isolated item."
74,Mythic Mantle,Pauldrons,armor,robe,pauldrons,mage,"A mantle that falls perfectly draws attention and responsibility, carry both.",92,82,102,100,"mythic mantle, flawless drape geometry, radiant sigils contained, isolated item."
75,Dominion Drape,Pauldrons,armor,robe,pauldrons,mage,"Final drape sits like authority and does not shift, excuses lose ground.",96,86,106,100,"dominion drape, heroic shoulder drape, bright runes and sigils, contained radiance, isolated item."
76,Old Gloves,Gloves,armor,robe,gloves,mage,"Soft gloves with tired seams keep ink off skin most days, most days are enough.",0,0,10,10,"old gloves, soft cloth gloves, worn seams, ink stains, isolated item, no glow."
77,Patchwork Handwraps,Gloves,armor,robe,gloves,mage,"Patchwork wraps and awkward knots warm the wrist, shaking looks less obvious.",4,0,14,14,"patchwork handwraps, cloth wraps with leather patches, messy knotwork, isolated item, no magic."
78,Frayed Cuffs,Gloves,armor,robe,gloves,mage,"Loose cuffs snag on quills and corners, the wearer learns to slow down.",8,0,18,18,"frayed cuffs, sleeve cuffs with loose threads, worn edge binding, isolated item, no glow."
79,Worn Mitts,Gloves,armor,robe,gloves,mage,"Mitts rubbed smooth at the palm slip on glassware, keep a steady grip or lose the lesson.",12,2,22,22,"worn mitts, softened cloth mitts, slick palm wear, loose stitching, isolated item, no magic."
80,Plain Gloves,Gloves,armor,robe,gloves,mage,"Simple gloves without ornament keep hands from cracking, comfort does not need approval.",16,6,26,26,"plain gloves, simple cloth gloves, basic seams, dull dye, isolated item, no glow."
81,Steady Spellwraps,Gloves,armor,robe,gloves,mage,"Tight wraps steady the wrist and leave fingers loose, precision returns.",20,10,30,30,"steady wraps, tight wrist wraps, neat knotwork, supportive band, isolated item, no magic."
82,Scribed Handwraps,Gloves,armor,robe,gloves,mage,"Ink marks at the cuff betray habits, wax stays off the skin anyway.",24,14,34,34,"scribed handwraps, ink stained wraps, precise stitch lines, reinforced ends, isolated item, no glow."
83,Focused Mitts,Gloves,armor,robe,gloves,mage,"Close cut mitts do not bunch at the knuckle, long gestures stay clean.",28,18,38,38,"focused mitts, close cut mitts, minimal bulk, clean silhouette, isolated item, no magic."
84,Circle Cuffs,Gloves,armor,robe,gloves,mage,"A cuff held by a plain ring clasp stays put, sleeves stop falling into trouble.",32,22,42,42,"circle cuffs, ring clasp cuffs, layered cloth, chalk dust hints, isolated item, no glow."
85,Keen Gloves,Gloves,armor,robe,gloves,mage,"Cleaner cut and better seams invite finer work, the invitation is not wasted.",36,26,46,46,"keen gloves, cleaner cut gloves, fine seams, controlled wear, isolated item, no magic."
86,Runed Spellwraps,Gloves,armor,robe,gloves,mage,"Stitch rows keep strict rhythm along the wrap, hands feel guided.",40,30,50,50,"runed wraps, stitched patterns, strict lines, restrained trim, isolated item, no glow."
87,Aether Cuffs,Gloves,armor,robe,gloves,mage,"Tight weave cuffs block draft and lamp heat, late hours hurt less.",44,34,54,54,"aether cuffs, tight weave cuffs, warm lining, clean edges, isolated item, no magic."
88,Star Mitts,Gloves,armor,robe,gloves,mage,"Bright threads on the mitten catch lamplight, look up once and return to duty.",48,38,58,58,"star mitts, bright thread accents, soft cloth, clean finish, isolated item, no glow."
89,Hex Handwraps,Gloves,armor,robe,gloves,mage,"Wraps keep the wrist steady, precision returns.",52,42,62,62,"hex handwraps, dark wraps, faint runic etch on clasp ring, thin contained glow, isolated item."
90,Ritual Spellwraps,Gloves,armor,robe,gloves,mage,"Clean cloth kept away from dust smells of wax, cleanliness accuses.",56,46,66,66,"ritual wraps, clean cloth wraps, wax stains, careful folds, isolated item, no glow."
91,Oracle Gloves,Gloves,armor,robe,gloves,mage,"Gloves that fit too well make hesitation obvious, choose.",60,50,70,70,"oracle gloves, refined gloves, precise seams, faint luminous trace inside cuff, isolated item."
92,Night Cuffs,Gloves,armor,robe,gloves,mage,"Tight stitching keeps sleeves out of ash and oil. Hands stay steadier when the lamp sputters.",64,54,74,74,"night cuffs, dark cuffs, low reflection finish, thin glowing seam line, contained, isolated item."
93,Highrite Mitts,Gloves,armor,robe,gloves,mage,"Gloves that fit too well make hesitation look foolish, choose and move.",68,58,78,78,"highrite mitts, bright cloth mitts, silver inlay thread, steady glow seams, isolated item."
94,Astral Handwraps,Gloves,armor,robe,gloves,mage,"Clean wraps climb the forearm and hold the tendons warm. A steady hand makes the room obey.",72,62,82,82,"astral handwraps, wraps up forearm, refined knotwork, faint luminous traces, isolated item."
95,Nocturne Spellwraps,Gloves,armor,robe,gloves,mage,"Bright mitts stitched with care feel ceremonial, sit straighter.",76,66,86,86,"nocturne wraps, deep dye wraps, thin contained glow line, restrained, isolated item."
96,Eclipse Gloves,Gloves,armor,robe,gloves,mage,"Long wraps take scrapes meant for skin, work continues.",80,70,90,90,"eclipse gloves, matte dark gloves, runic lattice faintly glowing, isolated item."
97,Cathedral Cuffs,Gloves,armor,robe,gloves,mage,Late work wraps that do not slip keep the wrist steady when the mind frays.,84,74,94,94,"cathedral cuffs, ornate cuff embroidery, faint luminous trace, isolated item."
98,Dominion Mitts,Gloves,armor,robe,gloves,mage,"A glove that darkens the hand turns attention away, intent stays close.",88,78,98,98,"dominion mitts, heroic mitt pair, bright runes in thin lines, contained radiance, isolated item."
99,Seraphic Handwraps,Gloves,armor,robe,gloves,mage,"White wraps show every speck of dirt, discipline is visible.",92,82,102,100,"seraphic handwraps, immaculate wrap geometry, radiant sigils contained, isolated item."
100,Paragon Spellwraps,Gloves,armor,robe,gloves,mage,"Perfect wraps with quiet strength do not bind, mastery looks simple.",96,86,106,100,"paragon wraps, flawless cloth wraps, bright runes and sigils, contained radiance, isolated item."
101,Frayed Sash,Belt,armor,robe,belt,mage,"Fraying knot at the waist still holds layers down, small failures are tolerated.",0,0,10,10,"frayed sash, cloth sash, loose threads, faded dye, isolated item, no glow."
102,Worn Belt,Belt,armor,robe,belt,mage,"A belt polished by restless hands keeps pouches close, worry closer.",4,0,14,14,"worn belt, simple leather belt, dull buckle, scuffed edges, isolated item, no magic."
103,Plain Sash,Belt,armor,robe,belt,mage,"Simple sash wraps twice and stays flat, cloth stops dragging through ash.",8,0,18,18,"plain sash, simple cloth wrap, neat hem, worn knot, isolated item, no glow."
104,Faded Cinch,Belt,armor,robe,belt,mage,"Ash faded cord closes with a dull click, resolve closes with it.",12,2,22,22,"faded cinch, cloth cinch with dull clasp, soot stains, isolated item, no magic."
105,Rough Cord,Belt,armor,robe,belt,mage,"Coarse cord bites the waist and refuses to slip, bad knots get punished.",16,6,26,26,"rough cord, coarse rope cord, tight knots, frayed fibers, isolated item, no glow."
106,Focused Waistcord,Belt,armor,robe,belt,mage,"Pulled tight for work to stop fidgeting, the hands behave when the middle is braced.",20,10,30,30,"focused waistcord, sturdy cord, tidy knotwork, practical clasp, isolated item, no magic."
107,Circle Cincture,Belt,armor,robe,belt,mage,"Round clasp clicks shut and stays that way, certainty is a useful lie.",24,14,34,34,"circle cincture, round clasp, layered cloth band, chalk dust hints, isolated item, no glow."
108,Keen Sash,Belt,armor,robe,belt,mage,"Cleaner sash with tight hems catches less on benches and corners, bruises lessen.",28,18,38,38,"keen sash, cleaner cloth sash, tight hems, controlled wear, isolated item, no magic."
109,Runed Belt,Belt,armor,robe,belt,mage,"Strict stitch rows lie straight across the belly, slouching feels like confession.",32,22,42,42,"runed belt, strict stitch rows, leather band, engraved buckle, isolated item, no glow."
110,Warded Cord,Belt,armor,robe,belt,mage,"Better weave cord holds through hard breaths, layers stay aligned.",36,26,46,46,"warded cord, better weave cord, sturdy knots, restrained trim, isolated item, no magic."
111,Bound Waistcord,Belt,armor,robe,belt,mage,"Bound ties and sturdy knots keep twisting down, small order persists.",40,30,50,50,"bound waistcord, corded band, close fit, sturdy ties, isolated item, no glow."
112,Hex Waistcord,Belt,armor,robe,belt,mage,"A cord that bites when tied too hard keeps the spine honest. Small tools ride close, nothing swings.",44,34,54,54,"hex waistcord, dark cord band, sharp silhouette, matte finish, isolated item, no magic."
113,Ritual Cincture,Belt,armor,robe,belt,mage,"Too clean for the road, the cloth smells of wax and old smoke. Dirt feels personal.",48,38,58,58,"ritual cincture, clean cloth band, wax stains, careful folds, isolated item, no glow."
114,Oracle Belt,Belt,armor,robe,belt,mage,"A firm clasp closes with certainty, fidgeting ends.",52,42,62,62,"oracle belt, refined belt, polished clasp, faint runic etch, thin contained glow line, isolated item."
115,Night Sash,Belt,armor,robe,belt,mage,"A soft sash hushes loose cloth during long readings. Quiet makes other people listen.",56,46,66,66,"night sash, dark cloth sash, low reflection finish, tight knotwork, isolated item, no magic."
116,Ashen Cord,Belt,armor,robe,belt,mage,"Gray cord ties true through long pacing, stubbornness counts.",60,50,70,70,"ashen cord, gray cord band, ash dusting, tidy knots, isolated item, no glow."
117,Sigiled Waistcord,Belt,armor,robe,belt,mage,"Stitching holds its form at the waist, posture improves.",64,54,74,74,"shaped waistcord, raised stitch patterns, faint luminous trace in seam, isolated item."
118,Nocturne Cincture,Belt,armor,robe,belt,mage,"Dark cord sits flat and refuses to loosen. You look composed long after you stop feeling it.",68,58,78,78,"nocturne cincture, deep dye band, thin contained glow seam, restrained, isolated item."
119,Eclipse Cord,Belt,armor,robe,belt,mage,"Braided cord holds the layers like a promise. It does not slip when the breath turns sharp.",72,62,82,82,"eclipse cord, dark cord band, minimal ornament, isolated item, no magic."
120,Cathedral Waistcord,Belt,armor,robe,belt,mage,"A belt that fits too well keeps posture upright, voices steady.",76,66,86,86,"cathedral waistcord, ornate clasp, embroidered edges, faint luminous trace, isolated item."
121,Stormsigil Belt,Belt,armor,robe,belt,mage,"A heavier belt settles the whole robe and makes you stand like you mean it. Someone had to.",80,70,90,90,"storm belt, bright metalwork, blue white glow lines contained, isolated item."
122,Blackstar Sash,Belt,armor,robe,belt,mage,"Weight at the waist feels like chapel discipline, steps steady.",84,74,94,94,"black sash, severe cut cloth, thin glowing seam line, contained, isolated item."
123,Paragon Cincture,Belt,armor,robe,belt,mage,"Bright clasp catches candlelight without mercy, endure being seen.",88,78,98,98,"paragon cincture, immaculate construction, silver inlay channels, steady glow seams, isolated item."
124,Firstlight Cord,Belt,armor,robe,belt,mage,"Perfect hems and a quiet clasp close like certainty, arguing ends.",92,82,102,100,"firstlight cord, bright thread accents, refined clasp, radiant sigils contained, isolated item."
125,Sovereign Waistcord,Belt,armor,robe,belt,mage,"Final waist cord sits without slipping, stay in line with your own vow.",96,86,106,100,"sovereign waistcord, heroic waist cord silhouette, bright runes and sigils, contained radiance, isolated item."
126,Plain Skirt,Lower Armor,armor,robe,lower_armor,mage,"Simple cloth at the legs keeps ash off skin, the rest is cold.",0,0,10,10,"plain skirt, heavy cloth skirt, simple hem, soot stains, isolated item, no glow."
127,Faded Skirt,Lower Armor,armor,robe,lower_armor,mage,"Faded panels at the knee hide trembling poorly, kneel anyway.",4,0,14,14,"faded skirt, worn cloth, patched seams, dull dye, isolated item, no magic."
128,Rough Legwraps,Lower Armor,armor,robe,lower_armor,mage,"Coarse wraps bite the calf and shorten stride, fatigue arrives later.",8,0,18,18,"rough legwraps, coarse cloth wraps on calves, frayed ends, travel grime, isolated item, no glow."
129,Thin Cloth,Lower Armor,armor,robe,lower_armor,mage,"Light cloth drapes free to keep knees bending, clumsy steps survive.",12,2,22,22,"thin cloth lower garment, light fabric, minimal layers, frayed edges, isolated item, no magic."
130,Old Hem,Lower Armor,armor,robe,lower_armor,mage,"A hem mended again and again drags less than it should, mood drags anyway.",16,6,26,26,"old hem garment, mended hemwork, smoke stains, worn folds, isolated item, no glow."
131,Keen Legwraps,Lower Armor,armor,robe,lower_armor,mage,"Wraps cut to sit tight refuse to loosen, sloppiness loses ground.",20,10,30,30,"keen legwraps, tight calf wraps, neat knotwork, controlled wear, isolated item, no magic."
132,Steady Trousers,Lower Armor,armor,robe,lower_armor,mage,"Trousers that sit steady at the waist keep chalk dust in the folds, lessons linger.",24,14,34,34,"steady trousers, simple cloth trousers, reinforced waist tie, chalk dust hints, isolated item, no glow."
133,Warded Skirt,Lower Armor,armor,robe,lower_armor,mage,"Heavier weave sheds sparks and stray embers, flinching slows.",28,18,38,38,"warded skirt, heavier weave skirt, spark scorched edges, restrained trim, isolated item, no magic."
