sequence,weapon_name,weapon_type,weapon_family,allowed_class,damage_category,flavor_text,base_level,drop_min_level,drop_max_level_raw,drop_max_level_capped,prompt_item_description
11,Duskmantle Bow,Bow,ranged,ranger,agility,"Dark stain vanishes against bark, only the arrow gives you away.",40,30,50,50,"Longbow with soot dark stain and low reflection finish, horn nocks dulled by use, grip wrap worn smooth, isolated item, no glow."
12,Carrionstep Recurve,Bow,ranged,ranger,agility,"Built for running shots, the grip is polished by panic and rain.",44,34,54,54,"Compact hunting recurve with reinforced limb ends, grip worn by fast draws, bone charm near the handle, road dust and scuffs, isolated item, no glow."
13,Skylash Longbow,Bow,ranged,ranger,agility,"Made for open sky, it rewards calm hands and punishes haste.",48,38,58,58,"Tall longbow with slim limbs and bright string grooves, pale wood with sun bleached streak, neat stitched leather grip, isolated item, no glow."
14,Silent Quarry Sling,Sling,ranged,ranger,agility,"Soft pouch and dead cord keep quiet. A loud mistake would be final.",52,42,62,62,"Quiet sling with felt lined pouch and matte cord, muted colors, careful seam stitching, isolated item, no glow."
15,Ravenline Bow,Bow,ranged,ranger,agility,"Charcoal smears on the grip tell old fires. Wind turns mean, the draw stays true.",56,46,66,66,"Dark stained bow with charcoal streaks on the handle, feather tie remnants near the nock, scuffed riser edges from use, isolated item, no glow."
16,Ironbloom Recurve,Bow,ranged,ranger,agility,"Steel tucked into wood and sinew keeps its shape through cold mornings.",60,50,70,70,"Sturdy recurve with thin exposed steel reinforcement plate at the grip, cold check scars in the wood, rivets dulled, worn hand polish at the plate, isolated item, no glow."
17,Thornwake Longbow,Bow,ranged,ranger,agility,"Splinters under the wrap warn restless fingers. Fidgeting pays in blood.",64,54,74,74,"Longbow with rough underwrap texture and raised splinter bumps, repaired grip wrap, visible stitch repairs and patch ties, isolated item, no glow."
18,Dreadfletch Bow,Bow,ranged,ranger,agility,"Scarred at the handle from a bad day, it still draws without complaint.",68,58,78,78,"Grim war bow with deep gouges on the grip, dark oil stain, resin sealed cracks, wax repair seal at a limb joint, isolated item, no glow."
19,Wolfsight Sling,Sling,ranged,ranger,agility,"Braided by sleepless hands, the sling feels ready at any hour. You learn to match it.",72,62,82,82,"Heavy sling with wolf tooth bead, thick braid and reinforced pouch corners, bead scratched from use, isolated item, no glow."
20,Moonscar Recurve,Bow,ranged,ranger,agility,"A pale burn on one limb tells its history. Work continues without apology.",76,66,86,86,"Recurve bow with pale scorch scar along one limb, patched grip wrap, heat darkened string groove near the scar, isolated item, no glow."
21,Ashfall Longbow,Bow,ranged,ranger,agility,"Smoke in the grain and a steady center turn doubt into a straight line.",80,70,90,90,"Longbow with ash gray staining and soot in grain pores, limb tips heat darkened, clean maintained nocks, isolated item, no glow."
22,Grimtrail Bow,Bow,ranged,ranger,agility,"Heavy and steady, it was made for the last arrow you can afford. Take the shot.",84,74,94,94,"Robust bow with thick limbs and reinforced handle block, metal rivets and worn strap loop, hardened finish with scratches, isolated item, no glow."
23,Kingshade Recurve,Bow,ranged,ranger,agility,"Wrapped dark to hide the hands, it belongs to someone who learned to move unseen.",88,78,98,98,"Refined recurve with velvet dark grip wrap, carved end caps, thin inlay lines in the riser with faint cold contained light, heroic dark fantasy, isolated item."
24,Black Meridian Bow,Bow,ranged,ranger,agility,"Straight in the draw and cruel in the release, distance starts feeling like power.",92,82,102,100,"Precise bow with centered alignment marks and straight limb symmetry, single inlay seam along the back with strong contained glow, no flare, isolated item."
25,Eclipsed Huntmaster,Bow,ranged,ranger,agility,"Built for one clean kill at dusk. Silence is the price, certainty is the return.",96,86,106,100,"Elite hunting bow with silent wrap on the grip and matte finish, caged eclipse motif in the limb tips with contained cold light, no spill, isolated item."
