sequence,family_id,scene_name,display_name,base_level,travel_stage_background_prompt,prompt_travel_stage
11,ternfield_hobgoblins_40,default,Ternfields Approach III,40,"Grounded medieval fantasy travel scene for Ternfields, open pasture approach composition rather than a combat field, bright green grass, yellow wildflowers, cart-rutted dirt lane, distant white canvas tents, rough timber watch cart, split-rail fence breaks, hay bales, vegetable crates, and a thin ribbon of cookfire smoke under clear daylight, no monsters, no characters, no crowd, no heroic framing, clear readable path leading toward the occupied camp.","Travel stage background for a contract journey into Ternfields, show the viewer approaching fair open land with tall grass, wagon ruts, and warm daylight before the eye settles on an ugly hobgoblin camp fouling the middle distance, emphasize the contrast between healthy pasture and invasive occupation, keep the route clear and readable for UI overlay, scenic but grounded, no central hero subject, no monsters visible, no text, no logo."
12,saltwake_reavers_44,default,Saltwake Approach III,44,"Grounded medieval fantasy travel scene for Saltwake Cliffs, coastal approach composition rather than a combat field, pale cliff path above cold sea, white surf below, rope rails, weathered beacon posts, gull perches, tide pools, wreck timbers, kelp heaps, and net bundles under clear hard daylight, no monsters, no characters, no crowd, no heroic framing, clear readable route leading upward toward occupied cliff ledges.","Travel stage background for a contract journey into Saltwake Cliffs, show the viewer approaching a bright exposed cliff road where pale stone, sea wind, and open sky feel clean until the eye catches rope bridges, scavenged wreck posts, and a reaver holdfast ahead, emphasize height, exposure, and the contrast between beautiful coast and predatory occupation, keep the route clear and readable for UI overlay, scenic but grounded, no central hero subject, no monsters visible, no text, no logo."
13,snagtooth_hollow_48,default,Snagtooth Approach IV,48,"Grounded medieval fantasy travel scene for Snagtooth Hollow, cave-approach composition rather than a combat field, damp slate rock, crooked cave mouth, weak resin torches tied to crude stakes, thin torch smoke drifting outward, broken crates, fungus baskets, bedroll scraps, bone litter, shallow mud, slime traces near the entrance, cool blue-grey ambience with only small warm torch accents, no monsters, no characters, no crowd, no heroic framing, clear readable path leading inward.","Travel stage background for a contract journey into Snagtooth Hollow, show the viewer approaching a low goblin cave entrance along a muddy worn path, cave mouth should feel inhabited and foul but still readable, emphasize route and destination rather than combat space, path should visually pull inward toward the cave, keep the center readable for UI overlay, scenic but grounded, no central hero subject, no monsters visible, no text, no logo."
14,mirepool_boglings_52,default,Mirepool Approach IV,52,"Grounded medieval fantasy travel scene for Mirepool Grotto, marsh approach composition rather than a combat field, dark green reeds, shallow black-green water, mud banks, root tangles, fungus baskets, driftwood stakes, shell husks, and a dim cave-mouth hollow under overcast light, no monsters, no characters, no crowd, no heroic framing, clear readable route leading inward through wet ground and reeds.","Travel stage background for a contract journey into Mirepool Grotto, show the viewer approaching a soggy marsh hollow where reeds, puddles, and root-tangled mud gradually reveal a low cave-like grotto used by boglings, emphasize wet approach, dark green marsh identity, and a readable path through shallow water without turning the scene into a combat board, scenic but grounded, no central hero subject, no monsters visible, no text, no logo."
15,ternfield_hobgoblins_56,default,Ternfields Approach IV,56,"Grounded medieval fantasy travel scene for Ternfields, open pasture approach composition rather than a combat field, bright green grass, yellow wildflowers, cart-rutted dirt lane, distant white canvas tents, rough timber watch cart, split-rail fence breaks, hay bales, vegetable crates, and a thin ribbon of cookfire smoke under clear daylight, no monsters, no characters, no crowd, no heroic framing, clear readable path leading toward the occupied camp.","Travel stage background for a contract journey into Ternfields, show the viewer approaching fair open land with tall grass, wagon ruts, and warm daylight before the eye settles on an ugly hobgoblin camp fouling the middle distance, emphasize the contrast between healthy pasture and invasive occupation, keep the route clear and readable for UI overlay, scenic but grounded, no central hero subject, no monsters visible, no text, no logo."
16,saltwake_reavers_60,default,Saltwake Approach IV,60,"Grounded medieval fantasy travel scene for Saltwake Cliffs, coastal approach composition rather than a combat field, pale cliff path above cold sea, white surf below, rope rails, weathered beacon posts, gull perches, tide pools, wreck timbers, kelp heaps, and net bundles under clear hard daylight, no monsters, no characters, no crowd, no heroic framing, clear readable route leading upward toward occupied cliff ledges.","Travel stage background for a contract journey into Saltwake Cliffs, show the viewer approaching a bright exposed cliff road where pale stone, sea wind, and open sky feel clean until the eye catches rope bridges, scavenged wreck posts, and a reaver holdfast ahead, emphasize height, exposure, and the contrast between beautiful coast and predatory occupation, keep the route clear and readable for UI overlay, scenic but grounded, no central hero subject, no monsters visible, no text, no logo."
17,snagtooth_hollow_64,default,Snagtooth Approach V,64,"Grounded medieval fantasy travel scene for Snagtooth Hollow, cave-approach composition rather than a combat field, damp slate rock, crooked cave mouth, weak resin torches tied to crude stakes, thin torch smoke drifting outward, broken crates, fungus baskets, bedroll scraps, bone litter, shallow mud, slime traces near the entrance, cool blue-grey ambience with only small warm torch accents, no monsters, no characters, no crowd, no heroic framing, clear readable path leading inward.","Travel stage background for a contract journey into Snagtooth Hollow, show the viewer approaching a low goblin cave entrance along a muddy worn path, cave mouth should feel inhabited and foul but still readable, emphasize route and destination rather than combat space, path should visually pull inward toward the cave, keep the center readable for UI overlay, scenic but grounded, no central hero subject, no monsters visible, no text, no logo."
18,mirepool_boglings_68,default,Mirepool Approach V,68,"Grounded medieval fantasy travel scene for Mirepool Grotto, marsh approach composition rather than a combat field, dark green reeds, shallow black-green water, mud banks, root tangles, fungus baskets, driftwood stakes, shell husks, and a dim cave-mouth hollow under overcast light, no monsters, no characters, no crowd, no heroic framing, clear readable route leading inward through wet ground and reeds.","Travel stage background for a contract journey into Mirepool Grotto, show the viewer approaching a soggy marsh hollow where reeds, puddles, and root-tangled mud gradually reveal a low cave-like grotto used by boglings, emphasize wet approach, dark green marsh identity, and a readable path through shallow water without turning the scene into a combat board, scenic but grounded, no central hero subject, no monsters visible, no text, no logo."
19,ternfield_hobgoblins_72,default,Ternfields Approach V,72,"Grounded medieval fantasy travel scene for Ternfields, open pasture approach composition rather than a combat field, bright green grass, yellow wildflowers, cart-rutted dirt lane, distant white canvas tents, rough timber watch cart, split-rail fence breaks, hay bales, vegetable crates, and a thin ribbon of cookfire smoke under clear daylight, no monsters, no characters, no crowd, no heroic framing, clear readable path leading toward the occupied camp.","Travel stage background for a contract journey into Ternfields, show the viewer approaching fair open land with tall grass, wagon ruts, and warm daylight before the eye settles on an ugly hobgoblin camp fouling the middle distance, emphasize the contrast between healthy pasture and invasive occupation, keep the route clear and readable for UI overlay, scenic but grounded, no central hero subject, no monsters visible, no text, no logo."
20,saltwake_reavers_76,default,Saltwake Approach V,76,"Grounded medieval fantasy travel scene for Saltwake Cliffs, coastal approach composition rather than a combat field, pale cliff path above cold sea, white surf below, rope rails, weathered beacon posts, gull perches, tide pools, wreck timbers, kelp heaps, and net bundles under clear hard daylight, no monsters, no characters, no crowd, no heroic framing, clear readable route leading upward toward occupied cliff ledges.","Travel stage background for a contract journey into Saltwake Cliffs, show the viewer approaching a bright exposed cliff road where pale stone, sea wind, and open sky feel clean until the eye catches rope bridges, scavenged wreck posts, and a reaver holdfast ahead, emphasize height, exposure, and the contrast between beautiful coast and predatory occupation, keep the route clear and readable for UI overlay, scenic but grounded, no central hero subject, no monsters visible, no text, no logo."
21,snagtooth_hollow_80,default,Snagtooth Approach VI,80,"Grounded medieval fantasy travel scene for Snagtooth Hollow, cave-approach composition rather than a combat field, damp slate rock, crooked cave mouth, weak resin torches tied to crude stakes, thin torch smoke drifting outward, broken crates, fungus baskets, bedroll scraps, bone litter, shallow mud, slime traces near the entrance, cool blue-grey ambience with only small warm torch accents, no monsters, no characters, no crowd, no heroic framing, clear readable path leading inward.","Travel stage background for a contract journey into Snagtooth Hollow, show the viewer approaching a low goblin cave entrance along a muddy worn path, cave mouth should feel inhabited and foul but still readable, emphasize route and destination rather than combat space, path should visually pull inward toward the cave, keep the center readable for UI overlay, scenic but grounded, no central hero subject, no monsters visible, no text, no logo."
22,mirepool_boglings_84,default,Mirepool Approach VI,84,"Grounded medieval fantasy travel scene for Mirepool Grotto, marsh approach composition rather than a combat field, dark green reeds, shallow black-green water, mud banks, root tangles, fungus baskets, driftwood stakes, shell husks, and a dim cave-mouth hollow under overcast light, no monsters, no characters, no crowd, no heroic framing, clear readable route leading inward through wet ground and reeds.","Travel stage background for a contract journey into Mirepool Grotto, show the viewer approaching a soggy marsh hollow where reeds, puddles, and root-tangled mud gradually reveal a low cave-like grotto used by boglings, emphasize wet approach, dark green marsh identity, and a readable path through shallow water without turning the scene into a combat board, scenic but grounded, no central hero subject, no monsters visible, no text, no logo."
23,ternfield_hobgoblins_88,default,Ternfields Approach VI,88,"Grounded medieval fantasy travel scene for Ternfields, open pasture approach composition rather than a combat field, bright green grass, yellow wildflowers, cart-rutted dirt lane, distant white canvas tents, rough timber watch cart, split-rail fence breaks, hay bales, vegetable crates, and a thin ribbon of cookfire smoke under clear daylight, no monsters, no characters, no crowd, no heroic framing, clear readable path leading toward the occupied camp.","Travel stage background for a contract journey into Ternfields, show the viewer approaching fair open land with tall grass, wagon ruts, and warm daylight before the eye settles on an ugly hobgoblin camp fouling the middle distance, emphasize the contrast between healthy pasture and invasive occupation, keep the route clear and readable for UI overlay, scenic but grounded, no central hero subject, no monsters visible, no text, no logo."
24,saltwake_reavers_92,default,Saltwake Approach VI,92,"Grounded medieval fantasy travel scene for Saltwake Cliffs, coastal approach composition rather than a combat field, pale cliff path above cold sea, white surf below, rope rails, weathered beacon posts, gull perches, tide pools, wreck timbers, kelp heaps, and net bundles under clear hard daylight, no monsters, no characters, no crowd, no heroic framing, clear readable route leading upward toward occupied cliff ledges.","Travel stage background for a contract journey into Saltwake Cliffs, show the viewer approaching a bright exposed cliff road where pale stone, sea wind, and open sky feel clean until the eye catches rope bridges, scavenged wreck posts, and a reaver holdfast ahead, emphasize height, exposure, and the contrast between beautiful coast and predatory occupation, keep the route clear and readable for UI overlay, scenic but grounded, no central hero subject, no monsters visible, no text, no logo."
25,snagtooth_hollow_96,default,Snagtooth Approach VII,96,"Grounded medieval fantasy travel scene for Snagtooth Hollow, cave-approach composition rather than a combat field, damp slate rock, crooked cave mouth, weak resin torches tied to crude stakes, thin torch smoke drifting outward, broken crates, fungus baskets, bedroll scraps, bone litter, shallow mud, slime traces near the entrance, cool blue-grey ambience with only small warm torch accents, no monsters, no characters, no crowd, no heroic framing, clear readable path leading inward.","Travel stage background for a contract journey into Snagtooth Hollow, show the viewer approaching a low goblin cave entrance along a muddy worn path, cave mouth should feel inhabited and foul but still readable, emphasize route and destination rather than combat space, path should visually pull inward toward the cave, keep the center readable for UI overlay, scenic but grounded, no central hero subject, no monsters visible, no text, no logo."
26,mirepool_boglings_100,default,Mirepool Approach VII,100,"Grounded medieval fantasy travel scene for Mirepool Grotto, marsh approach composition rather than a combat field, dark green reeds, shallow black-green water, mud banks, root tangles, fungus baskets, driftwood stakes, shell husks, and a dim cave-mouth hollow under overcast light, no monsters, no characters, no crowd, no heroic framing, clear readable route leading inward through wet ground and reeds.","Travel stage background for a contract journey into Mirepool Grotto, show the viewer approaching a soggy marsh hollow where reeds, puddles, and root-tangled mud gradually reveal a low cave-like grotto used by boglings, emphasize wet approach, dark green marsh identity, and a readable path through shallow water without turning the scene into a combat board, scenic but grounded, no central hero subject, no monsters visible, no text, no logo."
