"level","easy_hp_multiplier","easy_damage_multiplier","easy_defense_multiplier","medium_hp_multiplier","medium_damage_multiplier","medium_defense_multiplier","hard_hp_multiplier","hard_damage_multiplier","hard_defense_multiplier"
"90","0.554","1.4","1.6","0.405","1.258","2.1","0.181","0.802","1.694"
"91","0.551","1.466","1.605","0.403","1.232","2.105","0.181","0.802","1.701"
"92","0.549","1.426","1.61","0.401","1.269","2.11","0.181","0.793","1.709"
"93","0.547","1.403","1.615","0.399","1.204","2.115","0.181","0.796","1.716"
"94","0.544","1.346","1.62","0.397","1.165","2.12","0.181","0.799","1.724"
"95","0.541","1.302","1.625","0.395","1.193","2.125","0.181","0.795","1.732"
"96","0.54","1.285","1.63","0.393","1.196","2.13","0.182","0.805","1.739"
"97","0.538","1.282","1.635","0.391","1.192","2.135","0.182","0.807","1.747"
"98","0.535","1.214","1.64","0.389","1.251","2.14","0.182","0.817","1.755"
"99","0.532","1.172","1.645","0.387","1.302","2.145","0.182","0.81","1.762"
"100","0.53","1.137","1.65","0.385","1.312","2.15","0.182","0.812","1.77"
