"series","level","value"
"contract_replenish_min_seconds","95","8100"
"contract_replenish_min_seconds","96","8280"
"contract_replenish_min_seconds","97","8460"
"contract_replenish_min_seconds","98","8640"
"contract_replenish_min_seconds","99","8820"
"contract_replenish_min_seconds","100","9000"
"contract_stamina_cost_high","1","6"
"contract_stamina_cost_high","2","6"
"contract_stamina_cost_high","3","6"
"contract_stamina_cost_high","4","7"
"contract_stamina_cost_high","5","7"
"contract_stamina_cost_high","6","7"
"contract_stamina_cost_high","7","7"
"contract_stamina_cost_high","8","8"
"contract_stamina_cost_high","9","8"
"contract_stamina_cost_high","10","8"
"contract_stamina_cost_high","11","8"
"contract_stamina_cost_high","12","8"
"contract_stamina_cost_high","13","9"
"contract_stamina_cost_high","14","9"
"contract_stamina_cost_high","15","9"
"contract_stamina_cost_high","16","9"
"contract_stamina_cost_high","17","9"
"contract_stamina_cost_high","18","10"
"contract_stamina_cost_high","19","10"
"contract_stamina_cost_high","20","10"
"contract_stamina_cost_high","21","10"
"contract_stamina_cost_high","22","11"
"contract_stamina_cost_high","23","11"
"contract_stamina_cost_high","24","11"
"contract_stamina_cost_high","25","12"
"contract_stamina_cost_high","26","12"
"contract_stamina_cost_high","27","12"
"contract_stamina_cost_high","28","12"
"contract_stamina_cost_high","29","13"
"contract_stamina_cost_high","30","13"
"contract_stamina_cost_high","31","13"
"contract_stamina_cost_high","32","14"
"contract_stamina_cost_high","33","14"
"contract_stamina_cost_high","34","14"
"contract_stamina_cost_high","35","15"
"contract_stamina_cost_high","36","15"
"contract_stamina_cost_high","37","15"
"contract_stamina_cost_high","38","15"
"contract_stamina_cost_high","39","16"
"contract_stamina_cost_high","40","16"
"contract_stamina_cost_high","41","16"
"contract_stamina_cost_high","42","17"
"contract_stamina_cost_high","43","17"
"contract_stamina_cost_high","44","17"
"contract_stamina_cost_high","45","18"
"contract_stamina_cost_high","46","18"
"contract_stamina_cost_high","47","18"
"contract_stamina_cost_high","48","18"
"contract_stamina_cost_high","49","19"
"contract_stamina_cost_high","50","19"
"contract_stamina_cost_high","51","19"
"contract_stamina_cost_high","52","20"
"contract_stamina_cost_high","53","20"
"contract_stamina_cost_high","54","20"
"contract_stamina_cost_high","55","21"
"contract_stamina_cost_high","56","21"
"contract_stamina_cost_high","57","21"
"contract_stamina_cost_high","58","21"
"contract_stamina_cost_high","59","22"
"contract_stamina_cost_high","60","22"
"contract_stamina_cost_high","61","22"
"contract_stamina_cost_high","62","23"
"contract_stamina_cost_high","63","23"
"contract_stamina_cost_high","64","23"
"contract_stamina_cost_high","65","24"
"contract_stamina_cost_high","66","24"
"contract_stamina_cost_high","67","24"
"contract_stamina_cost_high","68","25"
"contract_stamina_cost_high","69","25"
"contract_stamina_cost_high","70","26"
"contract_stamina_cost_high","71","26"
"contract_stamina_cost_high","72","26"
"contract_stamina_cost_high","73","27"
"contract_stamina_cost_high","74","27"
"contract_stamina_cost_high","75","27"
"contract_stamina_cost_high","76","28"
"contract_stamina_cost_high","77","28"
"contract_stamina_cost_high","78","28"
"contract_stamina_cost_high","79","29"
"contract_stamina_cost_high","80","29"
"contract_stamina_cost_high","81","29"
"contract_stamina_cost_high","82","30"
"contract_stamina_cost_high","83","30"
"contract_stamina_cost_high","84","30"
"contract_stamina_cost_high","85","31"
"contract_stamina_cost_high","86","31"
"contract_stamina_cost_high","87","31"
"contract_stamina_cost_high","88","32"
"contract_stamina_cost_high","89","32"
"contract_stamina_cost_high","90","33"
"contract_stamina_cost_high","91","33"
"contract_stamina_cost_high","92","33"
"contract_stamina_cost_high","93","34"
"contract_stamina_cost_high","94","34"
"contract_stamina_cost_high","95","34"
"contract_stamina_cost_high","96","35"
"contract_stamina_cost_high","97","35"
"contract_stamina_cost_high","98","35"
"contract_stamina_cost_high","99","36"
"contract_stamina_cost_high","100","36"
"contract_stamina_cost_low","1","4"
"contract_stamina_cost_low","2","4"
"contract_stamina_cost_low","3","4"
"contract_stamina_cost_low","4","4"
"contract_stamina_cost_low","5","4"
"contract_stamina_cost_low","6","5"
"contract_stamina_cost_low","7","5"
"contract_stamina_cost_low","8","5"
"contract_stamina_cost_low","9","5"
"contract_stamina_cost_low","10","5"
"contract_stamina_cost_low","11","5"
"contract_stamina_cost_low","12","5"
"contract_stamina_cost_low","13","6"
"contract_stamina_cost_low","14","6"
"contract_stamina_cost_low","15","6"
"contract_stamina_cost_low","16","6"
"contract_stamina_cost_low","17","6"
"contract_stamina_cost_low","18","7"
"contract_stamina_cost_low","19","7"
"contract_stamina_cost_low","20","7"
"contract_stamina_cost_low","21","7"
"contract_stamina_cost_low","22","7"
"contract_stamina_cost_low","23","7"
"contract_stamina_cost_low","24","8"
"contract_stamina_cost_low","25","8"
"contract_stamina_cost_low","26","8"
"contract_stamina_cost_low","27","8"
"contract_stamina_cost_low","28","8"
"contract_stamina_cost_low","29","8"
"contract_stamina_cost_low","30","9"
"contract_stamina_cost_low","31","9"
"contract_stamina_cost_low","32","9"
"contract_stamina_cost_low","33","9"
"contract_stamina_cost_low","34","9"
"contract_stamina_cost_low","35","9"
"contract_stamina_cost_low","36","9"
"contract_stamina_cost_low","37","10"
"contract_stamina_cost_low","38","10"
"contract_stamina_cost_low","39","10"
"contract_stamina_cost_low","40","10"
"contract_stamina_cost_low","41","10"
"contract_stamina_cost_low","42","10"
"contract_stamina_cost_low","43","11"
"contract_stamina_cost_low","44","11"
"contract_stamina_cost_low","45","11"
"contract_stamina_cost_low","46","11"
"contract_stamina_cost_low","47","11"
"contract_stamina_cost_low","48","12"
"contract_stamina_cost_low","49","12"
"contract_stamina_cost_low","50","12"
"contract_stamina_cost_low","51","12"
"contract_stamina_cost_low","52","12"
"contract_stamina_cost_low","53","13"
"contract_stamina_cost_low","54","13"
"contract_stamina_cost_low","55","13"
"contract_stamina_cost_low","56","13"
"contract_stamina_cost_low","57","13"
"contract_stamina_cost_low","58","14"
"contract_stamina_cost_low","59","14"
"contract_stamina_cost_low","60","14"
"contract_stamina_cost_low","61","14"
"contract_stamina_cost_low","62","15"
"contract_stamina_cost_low","63","15"
"contract_stamina_cost_low","64","15"
"contract_stamina_cost_low","65","15"
"contract_stamina_cost_low","66","16"
"contract_stamina_cost_low","67","16"
"contract_stamina_cost_low","68","16"
"contract_stamina_cost_low","69","16"
"contract_stamina_cost_low","70","17"
"contract_stamina_cost_low","71","17"
"contract_stamina_cost_low","72","17"
"contract_stamina_cost_low","73","17"
"contract_stamina_cost_low","74","18"
"contract_stamina_cost_low","75","18"
"contract_stamina_cost_low","76","18"
"contract_stamina_cost_low","77","18"
"contract_stamina_cost_low","78","19"
"contract_stamina_cost_low","79","19"
"contract_stamina_cost_low","80","19"
"contract_stamina_cost_low","81","19"
"contract_stamina_cost_low","82","20"
"contract_stamina_cost_low","83","20"
"contract_stamina_cost_low","84","20"
"contract_stamina_cost_low","85","20"
"contract_stamina_cost_low","86","21"
"contract_stamina_cost_low","87","21"
"contract_stamina_cost_low","88","21"
"contract_stamina_cost_low","89","21"
"contract_stamina_cost_low","90","22"
"contract_stamina_cost_low","91","22"
"contract_stamina_cost_low","92","22"
"contract_stamina_cost_low","93","22"
"contract_stamina_cost_low","94","23"
"contract_stamina_cost_low","95","23"
"contract_stamina_cost_low","96","23"
"contract_stamina_cost_low","97","23"
"contract_stamina_cost_low","98","24"
"contract_stamina_cost_low","99","24"
"contract_stamina_cost_low","100","24"
"contract_stamina_cost_standard","1","5"
"contract_stamina_cost_standard","2","5"
"contract_stamina_cost_standard","3","5"
"contract_stamina_cost_standard","4","6"
"contract_stamina_cost_standard","5","6"
"contract_stamina_cost_standard","6","6"
"contract_stamina_cost_standard","7","6"
"contract_stamina_cost_standard","8","7"
"contract_stamina_cost_standard","9","7"
"contract_stamina_cost_standard","10","7"
"contract_stamina_cost_standard","11","7"
"contract_stamina_cost_standard","12","7"
"contract_stamina_cost_standard","13","8"
"contract_stamina_cost_standard","14","8"
"contract_stamina_cost_standard","15","8"
"contract_stamina_cost_standard","16","8"
"contract_stamina_cost_standard","17","8"
"contract_stamina_cost_standard","18","9"
"contract_stamina_cost_standard","19","9"
"contract_stamina_cost_standard","20","9"
"contract_stamina_cost_standard","21","9"
"contract_stamina_cost_standard","22","9"
"contract_stamina_cost_standard","23","10"
"contract_stamina_cost_standard","24","10"
"contract_stamina_cost_standard","25","10"
"contract_stamina_cost_standard","26","10"
"contract_stamina_cost_standard","27","10"
"contract_stamina_cost_standard","28","11"
"contract_stamina_cost_standard","29","11"
"contract_stamina_cost_standard","30","11"
"contract_stamina_cost_standard","31","11"
"contract_stamina_cost_standard","32","11"
"contract_stamina_cost_standard","33","12"
"contract_stamina_cost_standard","34","12"
"contract_stamina_cost_standard","35","12"
"contract_stamina_cost_standard","36","12"
"contract_stamina_cost_standard","37","12"
"contract_stamina_cost_standard","38","13"
"contract_stamina_cost_standard","39","13"
"contract_stamina_cost_standard","40","13"
"contract_stamina_cost_standard","41","13"
"contract_stamina_cost_standard","42","14"
"contract_stamina_cost_standard","43","14"
"contract_stamina_cost_standard","44","14"
"contract_stamina_cost_standard","45","14"
"contract_stamina_cost_standard","46","15"
"contract_stamina_cost_standard","47","15"
"contract_stamina_cost_standard","48","15"
"contract_stamina_cost_standard","49","15"
"contract_stamina_cost_standard","50","16"
"contract_stamina_cost_standard","51","16"
"contract_stamina_cost_standard","52","16"
"contract_stamina_cost_standard","53","16"
"contract_stamina_cost_standard","54","17"
"contract_stamina_cost_standard","55","17"
"contract_stamina_cost_standard","56","17"
"contract_stamina_cost_standard","57","17"
"contract_stamina_cost_standard","58","18"
"contract_stamina_cost_standard","59","18"
"contract_stamina_cost_standard","60","18"
"contract_stamina_cost_standard","61","18"
"contract_stamina_cost_standard","62","19"
"contract_stamina_cost_standard","63","19"
"contract_stamina_cost_standard","64","19"
"contract_stamina_cost_standard","65","20"
"contract_stamina_cost_standard","66","20"
"contract_stamina_cost_standard","67","20"
"contract_stamina_cost_standard","68","20"
"contract_stamina_cost_standard","69","21"
"contract_stamina_cost_standard","70","21"
"contract_stamina_cost_standard","71","21"
"contract_stamina_cost_standard","72","22"
"contract_stamina_cost_standard","73","22"
"contract_stamina_cost_standard","74","22"
"contract_stamina_cost_standard","75","23"
"contract_stamina_cost_standard","76","23"
"contract_stamina_cost_standard","77","23"
"contract_stamina_cost_standard","78","23"
"contract_stamina_cost_standard","79","24"
"contract_stamina_cost_standard","80","24"
"contract_stamina_cost_standard","81","24"
"contract_stamina_cost_standard","82","25"
"contract_stamina_cost_standard","83","25"
"contract_stamina_cost_standard","84","25"
"contract_stamina_cost_standard","85","26"
"contract_stamina_cost_standard","86","26"
"contract_stamina_cost_standard","87","26"
"contract_stamina_cost_standard","88","26"
"contract_stamina_cost_standard","89","27"
"contract_stamina_cost_standard","90","27"
"contract_stamina_cost_standard","91","27"
"contract_stamina_cost_standard","92","28"
"contract_stamina_cost_standard","93","28"
"contract_stamina_cost_standard","94","28"
"contract_stamina_cost_standard","95","29"
"contract_stamina_cost_standard","96","29"
"contract_stamina_cost_standard","97","29"
"contract_stamina_cost_standard","98","29"
"contract_stamina_cost_standard","99","30"
"contract_stamina_cost_standard","100","30"
"stamina_regen_percent_per_hour","1","12.5"
"stamina_regen_percent_per_hour","2","12.5"
"stamina_regen_percent_per_hour","3","12.5"
"stamina_regen_percent_per_hour","4","12.5"
"stamina_regen_percent_per_hour","5","12.5"
"stamina_regen_percent_per_hour","6","12.5"
"stamina_regen_percent_per_hour","7","12.5"
"stamina_regen_percent_per_hour","8","12.5"
"stamina_regen_percent_per_hour","9","12.5"
"stamina_regen_percent_per_hour","10","12.5"
"stamina_regen_percent_per_hour","11","12.5"
"stamina_regen_percent_per_hour","12","12.5"
"stamina_regen_percent_per_hour","13","12.5"
"stamina_regen_percent_per_hour","14","12.5"
"stamina_regen_percent_per_hour","15","12.5"
"stamina_regen_percent_per_hour","16","12.5"
"stamina_regen_percent_per_hour","17","12.5"
"stamina_regen_percent_per_hour","18","12.5"
"stamina_regen_percent_per_hour","19","12.5"
"stamina_regen_percent_per_hour","20","12.5"
"stamina_regen_percent_per_hour","21","12.5"
"stamina_regen_percent_per_hour","22","12.5"
"stamina_regen_percent_per_hour","23","12.5"
"stamina_regen_percent_per_hour","24","12.5"
"stamina_regen_percent_per_hour","25","12.5"
"stamina_regen_percent_per_hour","26","12.5"
"stamina_regen_percent_per_hour","27","12.5"
"stamina_regen_percent_per_hour","28","12.5"
"stamina_regen_percent_per_hour","29","12.5"
"stamina_regen_percent_per_hour","30","12.5"
"stamina_regen_percent_per_hour","31","12.5"
"stamina_regen_percent_per_hour","32","12.5"
"stamina_regen_percent_per_hour","33","12.5"
"stamina_regen_percent_per_hour","34","12.5"
"stamina_regen_percent_per_hour","35","12.5"
"stamina_regen_percent_per_hour","36","12.5"
"stamina_regen_percent_per_hour","37","12.5"
"stamina_regen_percent_per_hour","38","12.5"
"stamina_regen_percent_per_hour","39","12.5"
"stamina_regen_percent_per_hour","40","12.5"
"stamina_regen_percent_per_hour","41","12.5"
"stamina_regen_percent_per_hour","42","12.5"
"stamina_regen_percent_per_hour","43","12.5"
"stamina_regen_percent_per_hour","44","12.5"
"stamina_regen_percent_per_hour","45","12.5"
"stamina_regen_percent_per_hour","46","12.5"
"stamina_regen_percent_per_hour","47","12.5"
"stamina_regen_percent_per_hour","48","12.5"
"stamina_regen_percent_per_hour","49","12.5"
"stamina_regen_percent_per_hour","50","12.5"
"stamina_regen_percent_per_hour","51","12.5"
"stamina_regen_percent_per_hour","52","12.5"
"stamina_regen_percent_per_hour","53","12.5"
"stamina_regen_percent_per_hour","54","12.5"
"stamina_regen_percent_per_hour","55","12.5"
"stamina_regen_percent_per_hour","56","12.5"
"stamina_regen_percent_per_hour","57","12.5"
"stamina_regen_percent_per_hour","58","12.5"
"stamina_regen_percent_per_hour","59","12.5"
"stamina_regen_percent_per_hour","60","12.5"
"stamina_regen_percent_per_hour","61","12.5"
"stamina_regen_percent_per_hour","62","12.5"
"stamina_regen_percent_per_hour","63","12.5"
"stamina_regen_percent_per_hour","64","12.5"
"stamina_regen_percent_per_hour","65","12.5"
"stamina_regen_percent_per_hour","66","12.5"
"stamina_regen_percent_per_hour","67","12.5"
"stamina_regen_percent_per_hour","68","12.5"
"stamina_regen_percent_per_hour","69","12.5"
"stamina_regen_percent_per_hour","70","12.5"
"stamina_regen_percent_per_hour","71","12.5"
"stamina_regen_percent_per_hour","72","12.5"
"stamina_regen_percent_per_hour","73","12.5"
"stamina_regen_percent_per_hour","74","12.5"
"stamina_regen_percent_per_hour","75","12.5"
"stamina_regen_percent_per_hour","76","12.5"
"stamina_regen_percent_per_hour","77","12.5"
"stamina_regen_percent_per_hour","78","12.5"
"stamina_regen_percent_per_hour","79","12.5"
"stamina_regen_percent_per_hour","80","12.5"
"stamina_regen_percent_per_hour","81","12.5"
"stamina_regen_percent_per_hour","82","12.5"
"stamina_regen_percent_per_hour","83","12.5"
"stamina_regen_percent_per_hour","84","12.5"
"stamina_regen_percent_per_hour","85","12.5"
"stamina_regen_percent_per_hour","86","12.5"
"stamina_regen_percent_per_hour","87","12.5"
"stamina_regen_percent_per_hour","88","12.5"
"stamina_regen_percent_per_hour","89","12.5"
"stamina_regen_percent_per_hour","90","12.5"
"stamina_regen_percent_per_hour","91","12.5"
"stamina_regen_percent_per_hour","92","12.5"
"stamina_regen_percent_per_hour","93","12.5"
"stamina_regen_percent_per_hour","94","12.5"
"stamina_regen_percent_per_hour","95","12.5"
"stamina_regen_percent_per_hour","96","12.5"
"stamina_regen_percent_per_hour","97","12.5"
"stamina_regen_percent_per_hour","98","12.5"
"stamina_regen_percent_per_hour","99","12.5"
"stamina_regen_percent_per_hour","100","12.5"
"travel_seconds_base","1","5"
"travel_seconds_base","2","11"
"travel_seconds_base","3","17"
"travel_seconds_base","4","23"
"travel_seconds_base","5","29"
"travel_seconds_base","6","36"
"travel_seconds_base","7","42"
"travel_seconds_base","8","48"
"travel_seconds_base","9","54"
"travel_seconds_base","10","60"
"travel_seconds_base","11","84"
"travel_seconds_base","12","108"
"travel_seconds_base","13","132"
"travel_seconds_base","14","156"
"travel_seconds_base","15","180"
"travel_seconds_base","16","204"
"travel_seconds_base","17","228"
"travel_seconds_base","18","252"
"travel_seconds_base","19","276"
"travel_seconds_base","20","300"
"travel_seconds_base","21","318"
"travel_seconds_base","22","336"
"travel_seconds_base","23","354"
"travel_seconds_base","24","372"
"travel_seconds_base","25","390"
"travel_seconds_base","26","408"
"travel_seconds_base","27","426"
"travel_seconds_base","28","444"
"travel_seconds_base","29","462"
"travel_seconds_base","30","480"
"travel_seconds_base","31","504"
"travel_seconds_base","32","528"
"travel_seconds_base","33","552"
"travel_seconds_base","34","576"
"travel_seconds_base","35","600"
"travel_seconds_base","36","624"
"travel_seconds_base","37","648"
"travel_seconds_base","38","672"
"travel_seconds_base","39","696"
"travel_seconds_base","40","720"
"travel_seconds_base","41","756"
"travel_seconds_base","42","792"
"travel_seconds_base","43","828"
"travel_seconds_base","44","864"
"travel_seconds_base","45","900"
"travel_seconds_base","46","936"
"travel_seconds_base","47","972"
"travel_seconds_base","48","1008"
"travel_seconds_base","49","1044"
"travel_seconds_base","50","1080"
"travel_seconds_base","51","1122"
"travel_seconds_base","52","1164"
"travel_seconds_base","53","1206"
"travel_seconds_base","54","1248"
"travel_seconds_base","55","1290"
"travel_seconds_base","56","1332"
"travel_seconds_base","57","1374"
"travel_seconds_base","58","1416"
"travel_seconds_base","59","1458"
"travel_seconds_base","60","1500"
"travel_seconds_base","61","1548"
"travel_seconds_base","62","1596"
"travel_seconds_base","63","1644"
"travel_seconds_base","64","1692"
"travel_seconds_base","65","1740"
"travel_seconds_base","66","1788"
"travel_seconds_base","67","1836"
"travel_seconds_base","68","1884"
"travel_seconds_base","69","1932"
"travel_seconds_base","70","1980"
"travel_seconds_base","71","2034"
"travel_seconds_base","72","2088"
"travel_seconds_base","73","2142"
"travel_seconds_base","74","2196"
"travel_seconds_base","75","2250"
"travel_seconds_base","76","2304"
"travel_seconds_base","77","2358"
"travel_seconds_base","78","2412"
"travel_seconds_base","79","2466"
"travel_seconds_base","80","2520"
"travel_seconds_base","81","2580"
"travel_seconds_base","82","2640"
"travel_seconds_base","83","2700"
"travel_seconds_base","84","2760"
"travel_seconds_base","85","2820"
"travel_seconds_base","86","2880"
"travel_seconds_base","87","2940"
"travel_seconds_base","88","3000"
"travel_seconds_base","89","3060"
"travel_seconds_base","90","3120"
"travel_seconds_base","91","3186"
"travel_seconds_base","92","3252"
"travel_seconds_base","93","3318"
"travel_seconds_base","94","3384"
"travel_seconds_base","95","3450"
"travel_seconds_base","96","3516"
"travel_seconds_base","97","3582"
"travel_seconds_base","98","3648"
"travel_seconds_base","99","3714"
"travel_seconds_base","100","3780"
